l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,222774017,225542623,110000,3-6,line,,,,44393.0,,,,
2,222774017,147690940,110000,3-6,line,,,,43052.0,,,,
3,243253187,244121158,110000,,line,50,,,2855.0,,,,
4,243253187,244793659,110000,,line,50,,,49136.0,,,,
5,245911551,244793659,110000,,line,50,,,6385.0,,,,
6,113801472,113801480,220000,,line,,,,605.0,,,,
7,113801480,249356055,220000,3-6,line,,,,18973.0,,,,
8,113801480,249356054,220000,3-6,line,,,,61410.0,,,,
9,315605525,180804685,220000,3-6,line,,,,107077.0,,,,
10,221144925,223354614,220000,3,line,,,,41142.0,,,,
11,113801472,138305701,500000,3,line,,,,66340.0,,,,
12,113801472,221144926,500000,3,line,,,,36172.0,,,,
13,138305701,213226607,500000,3,line,,-ВЛ-500 кВ Бурейская ГЭС — Хабаровская 1,,31831.0,,,,
14,219983562,221144926,500000,3,line,,,,69164.0,,,,
