l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,222269153,306386180,330000,3-6,line,,,,10332.0,,,,
2,222269153,302114607,330000,3,line,,,,72089.0,,,,
3,222269153,326973474,330000,3,line,,,,12606.0,,,,
4,326973474,306668087,330000,3,line,,,,63548.0,,,,
5,326973474,237065195,330000,3,line,,,,13063.0,,,,
6,144441379,306668087,330000,3-6,line,,,,88720.0,,,,
7,302197284,290937181,330000,3-6,line,,,,112232.0,,,,
8,302197284,302114607,330000,3-6,line,,,,11498.0,,,,
9,306386180,286489127,330000,3,line,,ВЛ 330 кВ ГЭС-4 - Черкесск,ОАО «ФСК ЕЭС»,57586.0,,,,
10,328254568,328254567,330000,3,line,,,,486.0,,,,
11,123173006,292398321,330000,3,line,,,,14045.0,,,,
12,123173006,290937181,330000,3,line,,,,71573.0,,,,
13,123173006,291660733,330000,3-6,line,,,,17307.0,,,,
14,115277041,138337462,330000,3,line,50,Махачкала — Дербент,ОАО «ФСК ЕЭС»,73586.0,,,,
15,305936146,306096956,330000,,line,,,,444.0,,,,
16,104869395,328254567,330000,3,line,,,,71481.0,,,,
17,104869395,290937181,330000,3,line,,,,16663.0,,,,
18,306668087,292398321,330000,3,line,,,,105432.0,,,,
