id,lon,lat,name,osm_id,voltage,type,poly
1,43.4017584513,43.8502766847,None,293051907,None,station,0103000020E6100000010000000700000072583B3D58B345408516121CD5EC4540512E93077BB34540D2C5BAA0E0EC45400F6672FD7CB345401F58368CDDEC4540C52E486681B34540B8ACFE9ED6EC4540E658F09B5EB34540943EDD1ACBEC45404E6279815AB345401108E88ED1EC454072583B3D58B345408516121CD5EC4540
2,43.3467246693,43.8236910554,ПС 35/10 кВ «Сармаково»,293048658,35000;10000,substation,0103000020E61000000100000009000000289D6BD949AC454047039FF36DE94540FE94D7D35DAC45405C84A8F079E94540196A23D55CAC4540A9286DF97AE94540350A02D165AC4540EADA481F80E945409DACB73A67AC454077CD0A1680E945401D1201386CAC454085030B8A7BE94540E2F5658778AC4540EA876C676EE94540BF3725CE5BAC454007356C3D5DE94540289D6BD949AC454047039FF36DE94540
3,41.4080541711,45.6416726549,None,299714065,None,substation,0103000020E6100000010000000500000036619A7032B44440EDAE03FC25D246408C41504040B444403CFC7C6F28D24640FECF1BCD43B44440C8B32DAD1ED24640D91CE4FB35B4444048AC2C391CD2464036619A7032B44440EDAE03FC25D24640
4,41.5159319392,45.4387354166,None,299715494,None,substation,0103000020E610000001000000050000009DEFF9DFFFC1444096B900C329B84640AE3567010CC2444037476D9C2FB84640E940DE3D14C2444000DAE03327B846407111B01B08C24440148E725A21B846409DEFF9DFFFC1444096B900C329B84640
5,43.0961788751,44.071124675,ПС 330/110/35/10 кВ «Машук»,104869395,330000;110000;35000;10000,substation,0103000020E6100000010000001500000079A5098D0A8C45402A421D401A094640B66AFCBD2A8C45405024982F230946404FBA296F2F8C454022AEE5B121094640B32A5F86398C454021DBBCBA2309464044528E413F8C4540C5D36A392A094640485636383A8C45401FD929163C0946408CF4FF924A8C4540CD07142B400946409F5BAFB66F8C45407CBFEBD748094640927E23288B8C4540591219F80D09464041E27ECE838C4540BF600AD905094640EE5D9392618C4540E24A3E04FF084640E77518F8608C454062C0E43F000946401B80EECC5F8C45407FC40CFAFF084640F12FC8A45E8C454080FD49B5FF0846407A368E135F8C45406C4669A4FE084640FDBBAC63598C454044E3B861FD08464093D8F9803C8C4540BD9E1BF9F5084640C8695E48388C4540EB2610AEFD08464048AE72B11D8C4540759F0376FA084640DE401DDF188C454054F09DFEF608464079A5098D0A8C45402A421D401A094640
6,42.9839951515,44.0625702176,"ПС ""Скачки-1""",294139258,None,substation,0103000020E610000001000000080000006AFF2E35E87D454075A2AC36050846402AE97A58EB7D454003724B4A060846405599DF52ED7D4540AD381DF806084640B3C8F0A6EF7D4540CF9063380A084640EAD65496F67D4540096AFA250A084640282D72F2FE7D4540980EB805FF0746402E1F7C57F17D4540C8BDB663F90746406AFF2E35E87D454075A2AC3605084640
7,43.7854970574,43.9790553168,"ПС ""Орловская""",228362773,None,substation,0103000020E610000001000000080000007B524D9381E44540F6F59C9953FD454058272B4087E44540D902711F56FD45407792B6128DE44540B0D329B758FD4540F61E43C294E4454058E435C54FFD45407427480E91E445403F48551F4EFD4540532A0B858CE44540FB598F1A4CFD4540F9DED94289E44540097CA7A74AFD45407B524D9381E44540F6F59C9953FD4540
8,43.6494626948,43.9677298287,None,291676247,None,substation,0103000020E6100000010000000C00000056AED4CFFED2454090D71CD6E0FB45400C65FF3801D345402F37BAF7E2FB4540B50F4C9A05D3454017C0C9D8E6FB4540B0397CFF06D3454019C0FB14E8FB45403992635B0ED345404F3DA697EEFB4540EBDA183123D345409E1CD565E2FB45404AEEEFBA31D3454042BF0843EFFB454034C51CA543D345405F22E7C6E4FB4540B6F48BED2ED3454032FA2DB6D2FB4540C03C52C829D3454030A136E3CDFB45405CB7779025D34540005D0527CAFB454056AED4CFFED2454090D71CD6E0FB4540
9,42.8355976976,45.3578276737,"ПС ""СХТ""",304192923,35000;fixme,substation,0103000020E61000000100000005000000FFC981CCEC6A45406BCB0434D2AD4640C0F049BCFC6A454084472451D2AD46407B1D06EEFC6A4540619EC968C8AD4640602B0605ED6A45407EFE1241C8AD4640FFC981CCEC6A45406BCB0434D2AD4640
10,42.8131386377,45.3414781043,"ПС ""Светлоград""",231705776,110000;35000;fixme,substation,0103000020E61000000100000006000000FD462551F4674540A29BD12CB2AB4640531236000868454039EA2358CBAB4640B1E6034C3568454084749257B9AB4640EB8298452C6845407939754DADAB46405D6D21F821684540FFE8678F9FAB4640FD462551F4674540A29BD12CB2AB4640
