id,n1_id,n2_id,length,voltage
1,1,2,12379.9505266,110000
2,3,4,15718.3892662,110000
3,5,6,12087.4757956,110000
4,7,8,4782.98276077,110000
5,9,10,5734.85828638,110000
6,11,12,4052.31514175,110000
7,11,13,3807.53711388,110000
8,14,15,4408.64584716,110000
9,14,16,5919.38236907,110000
10,14,17,4836.87116535,110000
11,18,16,6820.292684,110000
12,18,19,10108.4728056,110000
13,18,20,5782.34620366,110000
14,21,22,9685.08651774,110000
15,21,23,27523.2506725,110000
16,21,24,10191.6832401,110000
17,25,26,982.126683652,110000
18,25,27,6884.09837355,110000
19,28,29,2416.14934127,110000
20,30,31,5928.41904456,110000
21,30,32,12773.2233482,110000
22,30,33,11547.9586722,110000
23,30,34,3460.53366907,110000
24,35,36,6697.3048151,110000
25,37,38,27914.1453665,110000
26,39,40,11119.0072663,110000
27,41,42,22656.785853,110000
28,41,43,25573.8094812,110000
29,44,45,21386.8370807,110000
30,46,47,5072.27327416,110000
31,46,48,5031.05540795,110000
32,49,50,10898.5249996,110000
33,51,52,9625.72490615,110000
34,53,54,11780.7026737,110000
35,55,56,3785.41181537,110000
36,57,58,10213.0461659,110000
37,59,60,75.417983764,110000
38,60,61,46159.7033163,110000
39,60,62,27543.5445429,110000
40,63,64,211.863200196,110000
41,63,65,4336.07410786,110000
42,63,66,3100.40242151,110000
43,63,67,4328.0597428,110000
44,68,69,11248.1717017,110000
45,70,71,10578.7509206,110000
46,72,73,27708.8523339,110000
47,72,74,7127.26493712,110000
48,75,76,1703.69802844,110000
49,54,77,42037.993992,110000
50,54,78,26286.4998103,110000
51,79,80,832.793174447,110000
52,81,19,27819.6781811,110000
53,81,82,20456.8274722,110000
54,83,84,41795.2179268,110000
55,85,33,15515.2798381,110000
56,86,87,14027.5419613,110000
57,48,88,16916.5192078,110000
58,48,47,8001.83755713,110000
59,48,89,1923.53897383,110000
60,48,90,2609.36981094,110000
61,91,92,5925.15198474,110000
62,93,47,8572.68728553,110000
63,94,95,237.677798871,110000
64,16,96,5931.22689341,110000
65,16,97,11695.3980132,110000
66,16,98,1626.62292653,110000
67,99,100,52302.25966,110000
68,92,87,17246.64837,110000
69,101,102,40058.0730929,110000
70,103,104,672.972206337,220000
71,105,106,3658.66358532,220000
72,105,107,266735.195106,220000
73,105,108,102299.815705,220000
74,109,110,106170.149387,220000
75,111,112,49369.2693771,220000
76,111,113,48694.4020413,220000
77,111,114,96894.3039825,220000
78,115,116,15582.9542708,220000
79,115,117,186395.728336,220000
80,115,113,230067.830322,220000
81,115,118,149420.820008,220000
82,115,119,53292.6245037,220000
83,112,120,37419.1895746,220000
84,110,121,51506.5230398,220000
85,122,123,8919.35802613,220000
86,124,108,4200.12528916,220000
87,114,125,78840.7063686,220000
88,126,127,92173.8366143,220000
89,126,125,38978.9434955,220000
90,128,107,38505.5091689,220000
91,129,108,43792.0314294,220000
92,130,121,98075.4437222,220000
93,130,127,79595.2909165,220000
94,131,121,87537.175954,220000
95,108,132,49973.0140545,220000
96,108,133,1287.79799462,220000
97,134,135,22518.7381074,330000
98,136,137,13814.771451,330000
99,136,138,280394.955876,330000
100,136,12,255898.16208,330000
101,136,139,204486.860293,330000
102,136,140,161439.478314,330000
103,136,141,36588.7298241,330000
104,142,70,18127.859777,330000
105,142,75,32503.2386405,330000
106,143,30,52665.4816516,330000
107,143,79,760.332131336,330000
108,144,145,61060.5228765,330000
109,144,135,280821.895248,330000
110,144,63,21738.8274735,330000
111,146,147,247.438227828,330000
112,30,147,91602.066756,330000
113,30,148,52466.718074,330000
114,30,48,17749.9919461,330000
115,140,63,172630.899564,330000
116,140,48,34703.4644049,330000
117,63,64,275.945141662,330000
118,147,148,36.1521035327,330000
119,149,75,46893.8013337,330000
120,149,70,74150.0100652,330000
121,139,145,104668.36899,330000
122,2,148,31990.5947002,330000
123,94,95,156.041305842,330000
