l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,339272953,173504267,110000,3,line,,С-42 (ПС «Маркелово» - ПС «Плотниково»),,40033.0,,,,,
2,162573317,77195444,110000,3,line,,С-5/С-6 (ПС «Восточная» - ПС «Каштак» - ПС «Западная» - ПС «ДОК»)-Продолжение С5/С6 (ПС «Западная» - ПС «ДОК»)-отпайка от продолжение С-6 на ГПП-14,,9500.0,,,,,Yes
3,197928455,167875378,110000,3,line,,,,26741.0,,,,,Yes
4,197928455,107439685,110000,6,line,,,,50618.0,,,,,
5,172599304,190434443,110000,,line,,С-24 (ПС «Володино-110» - ПС «Кривошеино»),,28643.0,,,,,
6,228847625,191588676,110000,3,line,,С-91/С-92 (ПС «Чапаевка» - ПС «Катыльга»)--Отпайка от С-91/С-92 на ПС «Ломовая»,,51508.0,,,,,Yes
7,255013388,198719682,110000,3,line,,С-209 / С-210,,532.0,,,,,Yes
8,255013388,435735618,110000,6,line,,С-209 / С-210,,9102.0,,,,,
9,59261969,59264203,110000,6,line,,С-273 / С-274,,3312.0,,,,,
10,59261969,60132693,110000,6,line,,С-273 / С-274,,5214.0,,,,,
11,227681298,141629044,110000,6,line,,,,36269.0,,,,,
12,227681298,141629009,110000,3,line,50,,,36808.0,,,,,Yes
13,227681298,256586292,110000,6,line,,,,32086.0,,,,,
14,162544154,123874057,110000,6,line,,С-80/С-81 / 3580/3581 (ПС «Зональная» - ПС «Октябрьская» / ПС «Октябрьская» - ПС «Богашево»)-С-80/С-81 (ПС «Зональная» - ПС «Октябрьская»),,7807.0,,,,,Yes
15,51129883,51857448,110000,3,line,50,,,1264.0,,,,,Yes
16,51129883,51505459,110000,6,line,50,,,11648.0,,,,,
17,294641182,203496562,110000,3,line,,-С-248-С-247-С-247 / С-248,,6397.0,,,,,Yes
18,294641182,295466100,110000,6,line,,-С-247 / С-248,,3483.0,,,,,
19,294641182,123943720,110000,6,line,,-С-247 / С-248,,2330.0,,,,,
20,167284772,165976042,110000,,line,,С-19а (ПС «Уртам» - ПС «Вороново»),,17982.0,,,,,
21,131640871,77195444,110000,3,line,,"С-9/С-10 (ПС «Восточная» - ПС «Коммунальная» / ПС «Восточная» - ПС «Солнечная»)-С-10/С-85 (ПС «Восточная» - ПС «Солнечная» / ПС «Зональная» - ПС «Солнечная»)-С-85 (ПС «Зональная» - ПС «Солнечная»)-С-84 (ПС ""Зональная"" - ПС ""Коммунальная"")-С-9 (ПС «Восточная» - ПС «Коммунальная»)",,11086.0,,,,,Yes
22,131640871,161501791,110000,3,line,,"С-9/С-84 (ПС «Восточная» - ПС «Коммунальная» / ПС «Зональная» - ПС «Коммунальная»)-С-10/С-85 (ПС «Восточная» - ПС «Солнечная» / ПС «Зональная» - ПС «Солнечная»)-С-85 (ПС «Зональная» - ПС «Солнечная»)-С-84 (ПС ""Зональная"" - ПС ""Коммунальная"")",,10429.0,,,,,Yes
23,131640871,123874057,110000,3,line,,С-10/С-85 (ПС «Восточная» - ПС «Солнечная» / ПС «Зональная» - ПС «Солнечная»)-С-85 (ПС «Зональная» - ПС «Солнечная»)-С-84/С-85 (ПС «Зональная» - ПС «Коммунальная» / ПС «Зональная» - ПС «Солнечная»),,10076.0,,,,,Yes
24,223481385,208172439,110000,6,line,,,,41310.0,,,,,
25,237781034,421135596,110000,3,line,,,,53445.0,,,,,
26,228962860,418072303,110000,6,line,,,,59546.0,,,,,
27,228962860,180788791,110000,6,line,,,,21786.0,,,,,
