l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,310517888,310514623,220000,3-6,line,,-Астаховская - Красный Яр,,100271.0,,,,
2,310517888,131445651,220000,3,line,,Астаховская - Красный Яр-Фроловская - Астаховская,,138696.0,,,,
3,237729409,287650710,220000,3-6,line,,,,49717.0,,,,
4,237729409,287650708,220000,3,line,,,,46701.0,,,,
5,172616769,34602844,220000,3,line,,Полунино - Литейная,,71334.0,,,,
6,398929804,385129142,220000,,line,,ВЛ 220 кВ ПС Тамань - ПП Кубань (цепь №2),,65866.0,,,,
7,176611213,310508006,220000,3,line,,Арчеда - Сатаровская,,36283.0,,,,
8,176611213,131445651,220000,3,line,,Фроловская - Арчеда №2,,2458.0,,,,
9,176611213,235602312,220000,3,line,,Волга - Иловля - Арчеда-Волга - Иловля-2 - Арчеда,,68380.0,,,,
10,131445651,184955204,220000,3,line,,Таловка - Петров Вал-Фроловская - Таловка,,128089.0,,,,
11,131445651,329957298,220000,3-6,line,,-Фроловская - Таловка,,114463.0,,,,
12,310504746,310508006,220000,3,line,,Сатаровская - Андреановская,,64233.0,,,,
13,310504746,337471091,220000,3,line,,Андреановская - Вешенская-2,,55570.0,,,,
14,154105735,234202202,220000,3-6,line,,,,15023.0,,,,
15,154105735,26941267,220000,3,line,,,,55891.0,,,,
16,231617070,185044703,220000,3-6,line,,,,31216.0,,,,
17,385129142,385220958,220000,,cable,,подводный переход Кубань-Крым,,16721.0,,,,
18,184955204,34602844,220000,3,line,,Петров Вал - Литейная,,10570.0,,,,
19,170243777,251449571,220000,3,line,,,,136940.0,,,,
20,170243777,236563057,220000,3-6,line,,,,72827.0,,,,
21,340499434,125317988,220000-330000,3-3-3-6,line,,Койсуг-Зерновая 1972г.-,РПМЭС,111127.0,,,,
22,127789163,108218363,220000,3-6,line,,,,28703.0,,,,
23,291845999,41289744,220000-110000,3-3-3-6,line,,,,67698.0,,,,
24,183309218,112793726,500000,9-3,line,,,,1360.0,,,,
25,255786538,169925532,500000,3,line,,,,214581.0,,,,
26,48299241,106611341,500000,3,line,,Ростовская АЭС - Шахты,,98991.0,,,,
27,48299241,234202202,500000,3,line,,-Ростовская АЭС - Тихорецкая (цепь №2)-Ростовская АЭС - Тихорецк (цепь №1),,62311.0,,,,
28,169925532,110679130,500000,3,line,,Южная - Трубная,,164371.0,,,,
29,169925532,119897806,500000,3,line,,Волга - Южная,,5273.0,,,,
30,398929804,129082329,500000,3,line,,ВЛ 500 кВ Кубанская - Тамань,,74597.0,,,,
31,106611341,108218363,500000,3,line,,ВЛ 500 кВ Фроловская - Ростовская-ВЛ 500 кВ Ростовская - Шахты,ФСК ЕЭС,86323.0,,,,
32,119897806,131443763,500000,3,line,50,Балашовская - Волга,ФСК ЕЭС,128156.0,,,,
33,119897806,112793726,500000,3,line,,Волжская ГЭС - Волга,,30132.0,,,,
34,131443763,131445651,500000,3,line,,Балашовская - Фроловская,ФСК ЕЭС,40760.0,,,,
35,338193134,112793726,500000,3,line,,,,2018.0,,,,
36,129082329,234202202,500000,3,line,,,,5602.0,,,,
37,131445651,112793726,500000,3,line,50,Волжская ГЭС - Фроловская,ФСК ЕЭС,64884.0,,,,
