n_id,longitude,latitude,type,voltage,frequency,name,operator
274998912,43.9094728553,54.0168924193,substation,220000,,Мокша,
113585698,44.9141933284,54.0515299195,substation,220000,,ПС 220кВ Рузаевка,
72288676,43.9374672597,55.0962762636,substation,500000,,Арзамасская,ФСК ЕЭС
327816066,46.5635865871,53.1291778647,substation,220000,,Кузнецк,
211405161,45.0064682799,53.2546386205,substation,220000,,Пенза-1,
207204995,46.3776860482,55.4981492638,substation,220000-110000-6000,,ПС Венец 220/110/6 кВ,
305893253,47.3219657259,55.9775297028,substation,220000-10000,,ПС Абашево 220/10 кВ,
53366641,47.5093672014,55.523994011,substation,220000-110000-6000,,ПС Канаш 220/110/6 кВ,
121218185,48.2341939424,55.7665145924,substation,220000-110000-10000,,ПС 220/110/10 кВ Тюрлема,ОАО «МРСК Волги»
107692183,47.8853200377,56.6065526842,substation,220000,50,ПС Чигашево 220/110кВ,
93292147,48.4083765532,55.9800977385,substation,500000,,ПС Помары,
305832836,44.3745064796,55.0316047777,substation,220000,,Лукояновская,
232164616,57.788469761,58.1224481977,station,None,,,
229942593,57.8251500274,58.127173044,station,None,,,
274937610,49.6737899185,52.814486542,substation,220000,,ПС 220 кВ Головная,
161082145,49.7568921978,53.004829117,substation,220000,,ПС 220 кВ Томыловская,
93494543,45.9586312502,55.2383689404,substation,220000,,Сеченово-1,
93508340,45.9642731521,55.241937602,substation,220000,,Сеченово-2,
93494546,45.962887871,55.2360051469,substation,220000,,РП Сеченово,
89430545,49.2545879136,55.8894993,station,None,,ПС Киндери,
62194541,49.1636694835,55.8375021676,substation,220000,,ПС Магистральная,ТатЭнерго
327138157,45.8277028763,55.6098232742,substation,220000,,"ПС 220кВ ""Пильна""",
92419131,44.8658338628,54.8241609216,substation,500000,,Осиновка,ФСК ЕЭС
277905350,45.4289512573,55.5292917061,substation,220000-110000,,Сергач,
224208787,49.1159721318,56.986969107,substation,220000,,ПС Дубники,
327325460,44.1946582863,56.1109924781,substation,220000,,Кудьма,
121048356,44.2093826812,55.5137277061,substation,220000,,"ПС 220кВ ""Бобыльская""",
171147802,50.8351806906,58.4552038457,station,None,,,
240018999,51.1127695699,58.3971887299,sub_station,None,,,
158349339,56.8396253905,59.4657505715,station,220000,,Подстанция 220 кВ Космос,
128036424,57.0511237699,59.3919512595,substation,500000-220000,,Северная,
306106528,44.3271719982,51.9639034132,substation,None,,Екатериновка-газовая,
328463572,44.3153900986,52.0555663972,substation,None,,,
224261932,44.9822753668,51.8986111466,station,None,,Аткарская,ОАО «ФСК ЕЭС»
327226015,44.6398365454,54.6695377146,substation,220000,,Починковская-2,
