l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,203363075,179545958,220000,3-6,line,50,,,41092.0,,,,
2,203363075,431598950,220000,6,line,50,,,9621.0,,,,
3,164577670,164673290,220000,,line,50,,,56225.0,,,,
4,272051854,199287768,220000,3-6,line,,,,18855.0,,,,
5,251673647,251081502,220000,6,line,50,,,16074.0,,,,
6,273522974,285554517,220000,6,line,,,,25406.0,,,,
7,172440613,179545958,220000,6,line,50,,,36682.0,,,,
8,193242927,191859780,220000,3-6,line,,,,11625.0,,,,
9,193242927,178248568,220000,3,cable,,,EDENOR,4329.0,,,,
10,321398723,179545958,220000,3-6,line,50,,,25188.0,,,,
11,191859780,199287768,220000,3-6,line,,,,26246.0,,,,
12,242365381,431598950,220000,3,cable,,,EDESUR,5479.0,,,,
13,58676298,179545958,220000,3-6,line-cable,50,,,29790.0,,,,
14,193412175,277132135,220000,6,line,,2RAVL1Y2,,83041.0,,,,
15,193412175,194378395,220000,3,line,,,,8558.0,,,,
16,285554517,285554522,220000,3,line,,,,159.0,,,,
17,199287768,277132135,220000,3-6,line,,,Transener,63547.0,,,,
18,310114524,178248568,220000,3,cable,,,EDENOR,13292.0,,,,
19,277132135,193415212,220000,6,line,,2ATVL1Y2,,26071.0,,,,
20,188360578,247830316,500000,3,line,50,,,73344.0,,,,
21,188360578,413038969,500000,3,line,50,,,3428.0,,,,
22,277426564,277641813,500000,3,line,50,,,23030.0,,,,
23,277426564,251081502,500000,3,line,50,,Transener,81453.0,,,,
24,247830316,176046623,500000,3,line,,,,73609.0,,,,
25,247830316,218457595,500000,3,line,,,,25759.0,,,,
26,110339851,258696364,500000,3,line,50,,,45238.0,,,,
27,110339851,258696366,500000,3,line,50,,EPESF,81189.0,,,,
28,110339851,305162903,500000,3,line,,,,136923.0,,,,
29,203954946,190845501,500000,3,line,,,,23474.0,,,,
30,203954946,274067533,500000,3,line,50,,Transener,86555.0,,,,
31,203954946,186421221,500000,3,line,50,,Transener,75313.0,,,,
32,203954946,199287768,500000,3,line,50,,Transener,153252.0,,,,
33,247820688,89373622,500000,3,line,,,,15600.0,,,,
34,257673618,179545958,500000,3,line,,,Transener,81873.0,,,,
35,257673618,247830317,500000,3,line,50,,,80402.0,,,,
36,194575899,213568638,500000,3,line,,,,84975.0,,,,
37,194575899,213353516,500000,3,line,,,,12042.0,,,,
38,251081502,179545958,500000,3,line,50,,Transener,58016.0,,,,
39,176046623,247830317,500000,3,line,,,,70434.0,,,,
40,71775909,277641813,500000,3,line,50,,,27045.0,,,,
41,305027751,258696366,500000,3,line,50,,EPESF,13501.0,,,,
42,305027751,186421221,500000,3,line,50,,EPESF,125888.0,,,,
43,215284908,199287768,500000,3,line,50,,Transener,41540.0,,,,
44,213578175,213353516,500000,3,line,,,,30171.0,,,,
45,213578175,253226994,500000,3,line,,,,84740.0,,,,
46,314753857,314176103,500000,3,line,50,,Transener,127348.0,,,,
47,314753857,303134158,500000,3,line,50,,Transener,52810.0,,,,
48,173947403,253226994,500000,3,line,,,,84299.0,,,,
49,173947403,306717418,500000,3,line,,5GMRDI1,,83333.0,,,,
50,213192902,213192904,500000,3,line,50,,,76173.0,,,,
51,213192902,213192903,500000,3,line,50,,,483.0,,,,
52,213192904,413038969,500000,3,line,50,,,77237.0,,,,
53,213192904,26119134,500000,3,line,50,,,2492.0,,,,
54,213192904,279914161,500000,3,line,50,,,18271.0,,,,
55,274067533,221357412,500000,3,line,50,,,88228.0,,,,
56,303134158,26119134,500000,3,line,50,,,76514.0,,,,
57,193412175,323007074,500000,3,line,,,,6574.0,,,,
58,193412175,193415212,500000,3,line,50,,Transener,83154.0,,,,
59,258696364,221357412,500000,3,line,50,,,88581.0,,,,
60,277641813,26119134,500000,3,line,50,,,78191.0,,,,
61,199287768,193415212,500000,3,line,50,,Transener,67511.0,,,,
62,199287768,179545958,500000,3,line,50,,Transener,60177.0,,,,
63,305103439,305103437,500000,3,line,50,,,87131.0,,,,
64,26119134,413038969,500000,3,line,50,,,77225.0,,,,
65,221357412,186421221,500000,3,line,50,,,72591.0,,,,
66,221357412,204484095,500000,3,line,50,,,88145.0,,,,
67,306717418,178480305,500000,3,line,,5ECORDI1,,81894.0,,,,
68,305103437,213568638,500000,3,line,50,,,86099.0,,,,
69,413038969,178480305,500000,3,line,50,,,51503.0,,,,
