id,n1_id,n2_id,length,voltage
1,1,2,42068.0994723,138000
2,3,2,90765.787091,138000
3,4,5,28143.9025445,138000
4,6,7,117296.87471,138000
5,8,9,37935.464267,138000
6,10,11,37855.5140673,138000
7,12,13,92504.80053,138000
8,12,14,1389.62828346,138000
9,15,16,47412.7602609,138000
10,17,18,22118.9637953,138000
11,19,20,96684.8236913,138000
12,21,22,49625.6817944,138000
13,23,24,25769.5167461,138000
14,25,26,55619.0499487,138000
15,25,27,51506.1959543,138000
16,25,28,187.395753153,138000
17,29,30,18539.5265549,138000
18,31,32,35418.9840529,138000
19,33,30,31651.4462514,138000
20,30,34,46411.5811408,138000
21,35,36,57.1421696151,138000
22,37,38,12599.931686,138000
23,37,39,14790.542763,138000
24,40,27,7051.53473004,138000
25,41,42,18801.1300638,138000
26,41,43,38147.3629478,138000
27,41,44,24649.6851994,138000
28,45,46,6347.28332055,138000
29,24,47,18756.1820117,138000
30,24,48,12714.0894548,138000
31,48,49,96165.904556,138000
32,50,49,83252.9365459,138000
33,51,52,65906.3220669,138000
34,52,53,16358.1679469,138000
35,52,54,86963.1959725,138000
36,55,56,17816.1822887,138000
37,57,20,104999.616606,138000
38,58,59,6454.73849429,138000
39,60,61,10294.668454,138000
40,62,63,18953.6165151,138000
41,64,5,84295.0977863,138000
42,65,66,139525.043999,138000
43,67,68,41871.5381236,138000
44,67,69,46301.6963743,138000
45,67,70,50793.5575351,138000
46,71,22,35326.2524224,138000
47,47,61,13232.4325701,138000
48,32,72,9293.80792712,138000
49,73,46,37966.7300528,138000
50,74,46,30444.4515274,138000
51,75,70,10072.3045487,138000
52,76,77,26273.4105382,138000
53,61,78,9771.33621427,138000
54,72,5,65147.2451605,138000
55,79,80,252701.003694,138000
56,81,42,893.422776363,138000
57,82,42,1014.43202466,138000
58,20,83,1213.9121342,138000
59,84,42,8386.0376678,138000
60,85,86,53760.7851901,230000
61,85,87,90864.1357978,230000
62,88,89,99504.596735,230000
63,88,90,99125.9423844,230000
64,88,91,197519.551206,230000
65,88,92,100044.767307,230000
66,93,94,64687.1411515,230000
67,95,67,57793.2478111,230000
68,95,68,18193.4689265,230000
69,95,46,79865.3297408,230000
70,96,97,11537.0501232,230000
71,98,99,13943.4886383,230000
72,100,101,45903.0899203,230000
73,100,102,7454.14053178,230000
74,100,103,2228.7200107,230000
75,100,104,21326.8793784,230000
76,105,49,78602.2691778,230000
77,27,106,26907.919541,230000
78,27,26,35167.0041899,230000
79,27,107,69928.4213985,230000
80,108,109,46596.8109144,230000
81,110,111,97559.3362961,230000
82,112,67,35864.3514584,230000
83,112,113,38558.1551977,230000
84,114,115,5582.39255939,230000
85,114,116,59365.8074973,230000
86,117,118,294856.527457,230000
87,119,120,58256.4439489,230000
88,119,121,2965.04413495,230000
89,122,48,96024.2353612,230000
90,123,124,20392.3589705,230000
91,123,125,112685.510323,230000
92,126,127,52419.9717195,230000
93,128,7,116914.785595,230000
94,128,49,95916.2379174,230000
95,128,129,3404.27297666,230000
96,130,121,43980.1933067,230000
97,131,132,204.391374242,230000
98,133,134,94583.2640899,230000
99,135,111,124875.287607,230000
100,135,136,125090.948221,230000
101,30,48,75557.2275997,230000
102,137,120,75279.9024414,230000
103,138,139,77366.9300385,230000
104,140,67,41905.4358743,230000
105,141,142,72498.1339874,230000
106,143,144,10765.1885306,230000
107,121,145,87477.7737624,230000
108,16,125,20791.5452516,230000
109,146,90,57953.7797716,230000
110,146,147,1531.22815172,230000
111,146,148,14070.3419282,230000
112,149,150,86156.4464873,230000
113,151,152,98714.4468908,230000
114,151,153,98860.8202503,230000
115,48,49,96165.5275697,230000
116,48,154,16566.8328798,230000
117,155,144,34629.3071826,230000
118,155,156,84079.1206054,230000
119,157,142,79074.8494697,230000
120,158,159,21925.2193051,230000
121,58,160,446.021037531,230000
122,58,161,82153.4624207,230000
123,58,162,44302.8594628,230000
124,163,32,90745.9672344,230000
125,161,26,94974.1929496,230000
126,164,165,55823.2818805,230000
127,164,32,90315.7464641,230000
128,166,167,69805.0177547,230000
129,142,168,77623.5095256,230000
130,67,46,23025.140045,230000
131,162,7,131294.270972,230000
132,162,169,11075.1756091,230000
133,170,171,4321.88210133,230000
134,172,173,184.488182224,230000
135,174,150,24941.524871,230000
136,175,147,129.135892166,230000
137,176,177,8273.49233217,230000
138,92,89,75178.5670719,230000
139,178,179,94344.061365,230000
140,180,111,1390.02994537,230000
141,35,181,21885.902971,230000
142,182,167,12684.5352611,230000
143,7,49,117589.607936,230000
144,183,78,95933.1787017,230000
145,184,185,1085.70581433,230000
146,154,49,75474.2240659,230000
147,145,186,4862.51686004,230000
148,87,86,55296.5994621,230000
149,187,86,74823.5549745,230000
150,188,26,96580.1562733,345000
151,188,107,13825.5315084,345000
152,189,162,78557.0854647,345000
153,189,107,103156.673074,345000
154,190,191,21299.0562923,345000
155,190,192,5049.12719087,345000
156,190,193,75242.572173,345000
157,190,194,49737.0637325,345000
158,190,195,34763.8215807,345000
159,190,196,88051.1426277,345000
160,197,198,50481.5126878,345000
161,199,200,544.179799945,345000
162,199,201,93725.9609988,345000
163,202,162,106147.849361,345000
164,203,162,321.696747252,345000
165,26,162,85265.7777249,345000
166,204,205,71852.3522553,345000
167,206,207,391.180767734,345000
168,208,209,54148.1516564,345000
169,208,210,26789.1514531,345000
170,207,211,831.736235262,345000
171,41,212,38126.9304595,345000
172,20,212,173798.422336,345000
173,20,213,224686.191053,345000
174,214,215,53657.1849385,345000
175,214,216,90956.4321059,345000
176,213,215,100975.245719,345000
177,210,209,30075.4806609,345000
178,216,217,87061.4243306,345000
179,217,201,230986.801693,345000
180,217,198,74358.3473121,345000
181,201,218,66378.7487371,345000
182,219,220,24550.2450389,440000
183,219,221,104510.965403,440000
184,219,222,116857.219974,440000
185,223,224,21176.7588652,440000
186,225,226,74771.41522,440000
187,225,227,297285.117275,440000
188,225,228,99811.6429377,440000
189,225,229,107286.329715,440000
190,221,230,45596.7655274,440000
191,231,232,135149.638475,440000
192,231,233,252905.42715,440000
193,231,230,267451.854025,440000
194,231,222,192121.424095,440000
195,231,234,179528.988788,440000
196,231,227,94486.2429421,440000
197,235,230,43893.8927392,440000
198,236,237,9248.10999511,440000
199,238,227,10937.2970971,440000
200,239,240,36155.699074,440000
201,239,222,4409.93953457,440000
202,226,241,54632.0721951,440000
203,227,224,136554.625786,440000
204,227,233,93640.6007951,440000
205,227,230,103861.678488,440000
206,241,228,18305.3025743,440000
207,240,230,90618.2143233,440000
208,237,232,1004.21656501,440000
209,228,230,140585.588282,440000
210,242,224,92500.7515671,440000
211,242,233,41869.3137399,440000
212,243,244,98904.2138371,500000
213,243,245,98897.4929525,500000
214,243,246,87073.1005275,500000
215,96,247,99483.5969151,500000
216,96,248,56882.2277981,500000
217,98,90,99646.8747424,500000
218,98,249,99673.8692703,500000
219,196,193,112212.558862,500000
220,196,250,171678.215824,500000
221,251,165,35433.4275398,500000
222,251,164,40112.2184087,500000
223,101,252,19401.8245973,500000
224,253,203,127235.436107,500000
225,253,129,95652.8824909,500000
226,254,255,78083.4434882,500000
227,254,181,29373.1136319,500000
228,256,257,23927.4139671,500000
229,257,258,33453.2690448,500000
230,123,125,88733.6386086,500000
231,123,144,3272.6687094,500000
232,259,260,97057.6571595,500000
233,259,261,21154.0836872,500000
234,259,262,70686.3830006,500000
235,263,91,197635.132577,500000
236,263,90,38490.0925851,500000
237,249,246,153432.562265,500000
238,129,154,78534.5087453,500000
239,246,173,204885.596635,500000
240,264,265,54115.8276842,500000
241,264,266,93052.2452306,500000
242,264,267,284.593834104,500000
243,264,268,95519.7668535,500000
244,269,260,14182.0687663,500000
245,269,180,97259.0632995,500000
246,115,270,88698.3985513,500000
247,115,271,88136.1157062,500000
248,272,273,93205.7134133,500000
249,274,164,56691.2370147,500000
250,274,275,60726.0820876,500000
251,275,270,8625.87890969,500000
252,275,276,90567.1242509,500000
253,275,277,62753.2713649,500000
254,221,250,150761.851054,500000
255,221,113,91825.4940697,500000
256,278,188,96432.8962845,500000
257,278,260,42643.8322108,500000
258,278,262,148518.267387,500000
259,279,280,9069.60666957,500000
260,279,281,2038.86445757,500000
261,270,271,88733.0054657,500000
262,270,181,88176.9913233,500000
263,270,255,88264.6317527,500000
264,270,144,119025.796355,500000
265,151,179,197887.963713,500000
266,151,173,135152.724283,500000
267,91,273,98544.5854913,500000
268,255,144,87967.092006,500000
269,282,212,78676.2857987,500000
270,283,200,45867.4162944,500000
271,283,242,93178.2558261,500000
272,164,284,10693.3217559,500000
273,164,276,83275.6261938,500000
274,164,144,89176.8290021,500000
275,164,165,55110.3795766,500000
276,262,285,59648.1243098,500000
277,252,233,2410.6579567,500000
278,252,200,342489.759782,500000
279,252,203,95225.4790174,500000
280,252,286,95173.4091665,500000
281,287,288,899.705915515,500000
282,287,289,53823.8583357,500000
283,244,285,76486.9199485,500000
284,244,179,70540.1704259,500000
285,290,247,34145.1924884,500000
286,291,250,92870.2858349,500000
287,203,266,39916.0260982,500000
288,203,286,1276.57621998,500000
289,203,188,296186.101031,500000
290,292,212,18524.8118917,500000
291,245,293,521.84343648,500000
292,113,276,30930.1073179,500000
293,280,281,8221.06865151,500000
294,205,258,91146.4190258,500000
295,205,266,94513.1382845,500000
296,134,180,202051.462032,500000
297,184,285,29960.267118,500000
298,266,188,95401.0570083,500000
299,266,294,546.302047264,500000
300,181,144,105040.015585,500000
301,276,295,720.960246687,500000
302,276,277,90940.5896006,500000
303,289,273,36890.4577449,500000
304,188,268,67344.9204783,500000
305,260,268,145923.42088,500000
306,165,125,47111.2103994,500000
307,125,144,74560.4460117,500000
308,212,42,54840.4709141,500000
309,177,296,826.086610726,500000
310,295,297,82687.5631931,750000
311,295,280,50315.6751327,750000
312,297,210,30870.089131,750000
