id,lon,lat,name,osm_id,voltage,type,poly
1,-53.530465564,-25.0285931804,None,204662228,None,substation,0103000020E61000000100000007000000A0DDD3D1FBC34AC0EADDE98E750739C04C68722AF7C34AC05D1C96C81C0739C080C6F65DD1C34AC080B5A04A230739C08A3206CAD6C34AC0453F76A68A0739C0160C7B68F1C34AC07FF40D10860739C030E84EA5F0C34AC064EB867A770739C0A0DDD3D1FBC34AC0EADDE98E750739C0
2,-53.7593826001,-24.7388738507,Subestação COPEL Toledo,208450687,None,substation,0103000020E61000000100000006000000B6F48E0C44E14AC0D78B389F49BD38C059D728B843E14AC0AC88E98803BD38C04FAB8F3943E14AC0905DA68B03BD38C08C7523D922E14AC0F473510C04BD38C0507C4A2E23E14AC0BC96FE234ABD38C0B6F48E0C44E14AC0D78B389F49BD38C0
3,-54.2262447771,-24.1024559422,None,207573521,None,substation,0103000020E610000001000000170000000135E8CF1E1D4BC0DF7C76CC0B1A38C02111E3560A1D4BC0745C374EFC1938C0848BB4A6FF1C4BC074AFAF2D101A38C022D473F8F61C4BC029F675DA151A38C0F4CA5867F41C4BC05C447DE9221A38C0BF0E23D3ED1C4BC041E998311E1A38C0C1A0D489EC1C4BC02F20B9A1241A38C0D9B89099E81C4BC0FB5C8D74221A38C0088D5801E81C4BC0E446F6112A1A38C0842E7D63F01C4BC0E43D2A402F1A38C0CF304763EF1C4BC0F407FA15371A38C027FBEA62DF1C4BC0F78801C4311A38C0842D0346D31C4BC08A54AFCB421A38C01B0FD53FDD1C4BC0A18404E5491A38C07828AD79D51C4BC0D360A8516E1A38C06C4499AFF01C4BC09FB3B312771A38C005266BA9FA1C4BC049EE4F4C491A38C0D1A6B1E1001D4BC023384DF53F1A38C0BD59A2A8011D4BC0F46EA00A3A1A38C0345EF28F091D4BC0442109D73F1A38C0509E92B9111D4BC0B437FE16161A38C0CEEA9B0D1B1D4BC01D7A4C001C1A38C00135E8CF1E1D4BC0DF7C76CC0B1A38C0
4,-50.7852746656,-25.704533661,Subestação Rio Azul,430397465,None,substation,0103000020E61000000100000005000000165888739F6449C0E42495AC55B439C0EFD5221F866449C0668CAF7129B439C057B0598B686449C0B8CC39DD61B439C0D2157C3E816449C036E34ECD8FB439C0165888739F6449C0E42495AC55B439C0
5,-50.6691699291,-25.4742984151,Subestação Irati,430390206,None,substation,0103000020E61000000100000005000000203A1F43C85549C040402512A57939C055437BFAA95549C08847E09C227939C05A2A6F09945549C0C9693F52217939C020C34715935549C0554AD8A1A17939C0203A1F43C85549C040402512A57939C0
6,-52.4789582222,-17.4125033719,Subestação Parque das Emas,171490852,None,substation,0103000020E61000000100000005000000B32C4E40843D4AC064BC9933866931C080E0271F393D4AC0D127466A4A6931C0551AA4E61F3D4AC091BB6F5DB96931C0C8D83B0A5A3D4AC027761F76E66931C0B32C4E40843D4AC064BC9933866931C0
7,-50.8840055806,-17.7613086488,Rio Verde,174643089,None,substation,0103000020E6100000010000000800000031F126D0647149C0D1BD40EB24C331C031E92477477149C0645A62907CC231C0A584A039217149C01C22B2C194C231C0EA1EF6551C7149C05FDAE5B478C231C0FCDBEDB7EA7049C0BD7EB21798C231C07856CF67F07049C09B2A1CB9B8C231C0841C1CF60C7149C06480B47D5CC331C031F126D0647149C0D1BD40EB24C331C0
8,-52.6445046716,-27.0808702017,Subestação Chapecó II,238221864,None,substation,0103000020E61000000100000005000000156E7EAB91524AC041389876B7143BC0D7B09A4188524AC01B37413E8F143BC084659DB76A524AC020E3A02CB2143BC071B5481D79524AC0112F49F6D7143BC0156E7EAB91524AC041389876B7143BC0
9,-52.3909330534,-26.8637436528,Subestação Xanxerê Celesc,206686475,138000,substation,0103000020E610000001000000050000006747E4C12B324AC03BAB95074BDD3AC030F9FC7626324AC09EE5D61CE7DC3AC08016AE6DE8314AC06CD76794F1DC3AC0873717BAED314AC0165E1D7F55DD3AC06747E4C12B324AC03BAB95074BDD3AC0
10,-53.7355666618,-24.7476386407,Subestação BRF,206721069,None,substation,0103000020E6100000010000000900000043A604142EDE4AC0BC659BE55CBF38C0C6D9017721DE4AC0CF77CC9B5ABF38C01864083F20DE4AC0357C1F556BBF38C0412905EC22DE4AC0F8F7D4CA6BBF38C0FE47B1A622DE4AC0A88AD05F70BF38C020F75A5D28DE4AC06C31D05471BF38C093052DA128DE4AC02DC324B26CBF38C0290AB4322DDE4AC0DB7963566DBF38C043A604142EDE4AC0BC659BE55CBF38C0
