l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,183356930,182692487,220000,3,line,50,,,42204.0,,,,
2,169337349,168851504,220000,3-6,line,50,,,92208.0,,,,
3,157553674,182735456,220000,3,line,50,,,70146.0,,,,
4,394165771,349891827,220000,3-6,line,50,,,17096.0,,,,
5,236594201,349891827,220000,3-6,line,50,,,16830.0,,,,
6,236594201,184250655,220000,3-6,line,50,,,13296.0,,,,
7,121431080,121431104,220000,3,line,,,,1091.0,,,,
8,182235178,119834529,220000,3,line,,Cardones_Maitencillo C3,Transelec,88073.0,,,,
9,182235178,182236045,220000,3,line,50,,,210.0,,,,
10,182235178,343069454,220000,6,line,50,,,87333.0,,,,
11,118304300,167666088,220000,3-6,line,50,,,62142.0,,,,
12,395644253,140002904,220000,3,line,50,,,57573.0,,,,
13,395644253,120102647,220000,3-6,line,50,S/E Charrúa - S/E Temuco 1x220 kV-,,46624.0,,,,
14,395644253,167666088,220000,3,line,50,S/E Charrúa - S/E Temuco 1x220 kV,,125770.0,,,,
15,187100722,140002904,220000,6,line,50,,,2482.0,,,,
16,187100722,190325675,220000,3-6,line,50,,,32789.0,,,,
17,187100722,182803372,220000,3-6,line,50,,,72157.0,,,,
18,187100722,354354025,220000,3-6,line,50,S/E Cautín - S/E Mulchén 1x220 kV-S/E Cautín - S/E Mulchén 2x220 kV,,78782.0,,,,
19,121431094,120471866,220000,3,line,,,,120008.0,,,,
20,121431094,121236949,220000,3,line,50,,,37246.0,,,,
21,121431094,121431104,220000,3,line,,,,43402.0,,,,
22,200239163,200067463,220000,3-6,line,50,,,17225.0,,,,
23,121431104,121455793,220000,3,line,,,,14631.0,,,,
24,328656452,30641628,220000,3-6,line,50,,,65877.0,,,,
25,328656452,120712016,220000,3-6,line,50,,,15761.0,,,,
26,328656452,121623737,220000,3-6,line,50,,,72787.0,,,,
27,145413703,24411638,220000,6,line,50,,,34116.0,,,,
28,170017864,111486352,220000,3-6,line,50,,,100594.0,,,,
29,170017864,328652522,220000,3,line,50,-Línea 220kV Crucero-Radomiro Tomic,,62476.0,,,,
30,48571065,184250655,220000,12-6,line,50,,,12170.0,,,,
31,121623737,121454923,220000,3-6,line,50,,,90537.0,,,,
32,121623737,121445157,220000,3-6,line,50,,,102905.0,,,,
33,121623737,321511794,220000,3-6,line,50,,,180934.0,,,,
34,121623737,121445146,220000,3-6,line,50,,,194582.0,,,,
35,121623737,111486352,220000,3-6,line,50,,,92101.0,,,,
36,121623737,321520065,220000,3,line,50,,,10292.0,,,,
37,121623737,168852850,220000,3,line,50,,,2585.0,,,,
38,121623737,136149844,220000,3-6,line,50,,,123243.0,,,,
39,121623737,170073895,220000,3,line,50,,,85208.0,,,,
40,182735456,111486352,220000,3,line,50,,,81026.0,,,,
41,182735456,182692483,220000,3-6,line,50,,,117451.0,,,,
42,187201126,167666088,220000,3-6,line,50,,,55801.0,,,,
43,375149685,343046589,220000,6,line,50,,,43062.0,,,,
44,375149685,393489602,220000,3,line,50,,,46264.0,,,,
45,375149685,343069454,220000,6,line,50,,,1779.0,,,,
46,170022524,170022526,220000,3,line,50,,,12283.0,,,,
47,170022524,111486348,220000,3,line,50,,,87128.0,,,,
48,170022526,168852850,220000,3-6,line,50,,,81720.0,,,,
49,182692483,182747576,220000,3,line,50,,,17970.0,,,,
50,182692483,111486348,220000,3-6,line,50,,,94770.0,,,,
51,226755205,95344808,220000,3-6,line,50,,,2435.0,,,,
52,219477643,343046589,220000,6,line,50,,,25344.0,,,,
53,119688342,253852513,220000,3,line,,,,78629.0,,,,
54,119688342,119834529,220000,3,line,,,,75538.0,,,,
55,119688342,95344808,220000,3,line,,,,72613.0,,,,
56,140162733,349891827,220000,3,line,50,,,32996.0,,,,
57,170023614,111486348,220000,3,line,50,,,66975.0,,,,
58,393489604,343046589,220000,3,line,50,,,95.0,,,,
59,120860874,120707837,220000,3-6,line,50,,,74727.0,,,,
60,120860874,111486348,220000,3-6,line,,,,61456.0,,,,
61,120960385,30641628,220000,3,line,50,,,1194.0,,,,
62,88147668,110804340,220000,3,line,50,,,94234.0,,,,
63,180536025,190325675,220000,3,line,50,,,1901.0,,,,
64,184191729,184197597,220000,6,line,50,,,16295.0,,,,
65,349891826,349891827,220000,3,line,50,,,343.0,,,,
66,349891827,27215229,220000,6,line,50,,,49758.0,,,,
67,349891827,123909946,220000,3-6,line,50,,,8269.0,,,,
68,155008260,91655961,220000,3-6,line,50,,,84878.0,,,,
69,103247113,123909946,220000,6,line,50,,,42097.0,,,,
70,120791316,120791326,220000,3,line,,,,538.0,,,,
71,110801625,110804340,220000,3,line,50,,,69664.0,,,,
