n_id,longitude,latitude,type,voltage,frequency,name,operator
329137670,-73.9417212456,10.1595769993,substation,None,,,
329111639,-74.1747079678,10.5072788049,substation,220000,,,
329112852,-73.2732899309,10.4594182689,substation,None,,,
235350409,-74.1859861584,4.76922470036,substation,None,,,
42527718,-74.0296885474,4.77903146881,substation,None,,Central electrica Torca,
169000716,-74.8888465443,5.56536365773,station,None,,,
169248620,-74.7186559497,5.42390611579,substation,220000,,,
329323507,-72.6090232109,11.1831680021,substation,None,,,
265884598,-75.1900901127,6.84047648914,substation,None,,,
265884599,-75.1749366653,6.85180961223,substation,None,,,
108961999,-75.3958369927,10.4468581221,station,None,,,
133889140,-75.4632969427,10.3766629974,substation,None,,Ternera,Electricaribe
88597989,-74.9109404141,10.6496264828,station,None,,Sabanalarga,Electricaribe
329137671,-75.5101260222,10.3557698014,plant,None,,Termoeléctrica Cospique,
330857322,-76.487466632,3.60665191436,substation,None,,,
331119341,-76.5008907345,3.55869312188,substation,None,,,
