l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,237160390,236014500,138000,3,line,60,,,56642.0,,,,,
2,238187943,189782428,138000,6,line,60,,,89435.0,,,,,Yes
3,237029483,237504406,138000,6,line,60,,,27595.0,,,,,
4,237029483,236843004,138000,6,line,60,,,10874.0,,,,,
5,237737293,237739290,138000,3,line,60,,,37028.0,,,,,
6,237739290,189782428,138000,3,line,60,L1011,,77705.0,,,,,
7,121100672,237999212,220000,6,line,,,,211073.0,,,,,Yes
8,121100672,238126990,220000,6,line,,,,88647.0,,,,,Yes
9,190927617,236527988,220000,6,line,60,,,97750.0,,,,,
10,190927617,190938111,220000,,line,,,,13447.0,,,,,
11,208063169,208063167,220000,3,line,60,,,3167.0,,,,,
12,236838060,236302283,220000,3,line,,,,96501.0,,,,,
13,237041304,235593851,220000,3,line,,,,9422.0,,,,,
14,237791773,237920983,220000,6,line,,,,4696.0,,,,,Yes
15,237791773,393024469,220000,6,line,,,,3918.0,,,,,
16,190963880,190938111,220000,6,line,60,,,21636.0,,,,,Yes
17,235206316,103726929,220000,6,line,60,,,220256.0,,,,,Yes
18,235377199,103726929,220000,6,line,60,,,54818.0,,,,,Yes
19,236130100,235593851,220000,6,line,,,,110462.0,,,,,Yes
20,236130100,236007756,220000,3,line,,,,194251.0,,,,,
21,236130100,236302283,220000,3,line,,,,57705.0,,,,,
22,306521844,237160390,220000,3,line,60,,,94990.0,,,,,
23,208063167,180736889,220000,3,line,60,,Enersur,43319.0,,,,,
24,208063167,180558188,220000,6,line,60,,Enersur,50300.0,,,,,Yes
25,190337600,235593851,220000,6,line,60,,,48239.0,,,,,
26,235588037,235534963,500000,9,line,60,,,39309.0,,,,,Yes
27,235588037,235593851,220000,6,line,60,,,49756.0,,,,,
28,237160390,131635265,220000,6,line,60,,,72467.0,,,,,Yes
29,237160390,237029483,220000,6,line,60,,,95466.0,0.08,0.32,11.5,1.3,Yes
30,237160390,349147693,220000,3,line,60,,,5707.0,,,,,
31,236534976,236527988,220000,3,line,60,,,1498.0,,,,,
32,103726929,238746073,220000,3,line,60,,,1241.0,,,,,
33,237920983,237999212,220000,6,line,,,,83826.0,,,,,
34,238746073,259275749,220000,6,line,60,,,98333.0,,,,,Yes
35,238746073,238582653,220000,3,line,60,,,46777.0,,,,,
36,237488735,237029483,220000,6,line,60,2053-2054-2053,,96563.0,0.04,0.16,23.0,2.6,Yes
37,236843003,237029483,220000,6,line,60,,,9618.0,0.08,0.32,11.5,1.3,Yes
38,192677928,236527988,220000,6,line,60,,,76847.0,,,,,Yes
39,192677928,235534963,220000,6,line,60,,,97922.0,,,,,Yes
40,192677928,190938111,220000,6,line,60,,,104117.0,,,,,Yes
41,235593850,235593851,220000,3,line,60,,,330.0,,,,,
42,235593851,235593847,220000,6,line,,,,1036.0,,,,,
43,235593851,235959824,220000,3,line,,,,3617.0,,,,,
44,235593851,235593849,220000,3,line,,,,268.0,,,,,
45,235593851,235593854,220000,,line,60,,,222.0,,,,,
46,238582653,238582651,220000,3,line,60,,,1506.0,,,,,
