l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,215647274,239697645,150000,3,line,,,,48450.0,,,,,
2,204496578,204496579,150000,,line,50,,,738.0,,,,,
3,204254243,200661290,150000,3,line,,,,73367.0,,,,,
4,204254243,190845501,150000,3,line,,,,90276.0,,,,,
5,204254243,186713672,150000,,line,,,,31612.0,,,,,
6,180076104,119970316,150000,6,line,,,,30735.0,,,,,
7,180076104,201062127,150000,6,line,,,,108059.0,,,,,
8,180076104,180076140,150000,6,line,,,,15574.0,,,,,
9,180076140,242874537,150000,6,line,,,,11300.0,,,,,
10,180076141,184698748,150000,,line,,MVA-NOR,UTE,5279.0,,,,,
11,190857327,201062127,150000,6,line,,,UTE,87389.0,,,,,Yes
12,190857327,297915642,150000,6,line,,,UTE,90115.0,,,,,Yes
13,201054300,186843387,150000,,line,,TYT-EMA,UTE,64610.0,,,,,
14,344921374,239697645,150000,,line,,,,73943.0,,,,,
