l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,164551435,164551436,115000,6,line,60,,,2091.0,,,,,Yes
2,212978177,107876565,161000,,line,,,,21613.0,,,,,
3,212978177,212978173,161000,,line,,,,9282.0,,,,,
4,212978177,212498257,161000,,line,,,,8335.0,,,,,
5,202965507,202965528,161000,3,line,60,,,5986.0,,,,,
6,202965509,204339804,161000,3,line,60,,,19959.0,,,,,
7,202965509,202965511,161000,3,line,60,,,18389.0,,,,,
8,202965511,168228084,161000,6,line,60,,,25387.0,,,,,Yes
9,202965511,202965491,161000,6,line,60,,,15134.0,,,,,Yes
10,202965511,202965528,161000,3,line,60,,,18160.0,,,,,
11,258531342,258531325,161000,,line,,,,3492.0,,,,,
12,258531342,258531327,161000,,line,,,,10768.0,,,,,
13,209962001,206790085,161000,,line,,,,20968.0,,,,,
14,165569554,209962003,161000,,line,,,,32867.0,,,,,
15,165569554,206790085,161000,,line,,,,8599.0,,,,,
16,165569554,206790089,161000,,line,,,,4114.0,,,,,
17,209962003,209962005,161000,,line,,,,19306.0,,,,,
18,200395831,166132047,161000,3,line,,VBI-Branch 161kV,,46913.0,,,,,Yes
19,200395831,200859574,161000,,line,,,,14513.0,,,,,
20,200395831,200395832,161000,,line,,Branch - Short Mountain 161kV,,17075.0,,,,,
21,200395832,200395833,161000,,line,,Short Mountain - Razorback 161kV,,20442.0,,,,,
22,200395833,200395834,161000,,line,,Razorback - Igo 161kV,,15454.0,,,,,
23,200395834,201217217,161000,,line,,Igo - Little Spadra Creek 161kV,,11203.0,,,,,
24,258531340,258531303,161000,,line,,,,10535.0,,,,,
25,258531340,258531327,161000,,line,,,,6549.0,,,,,
26,165570634,165633356,161000,6,line,,-Battlefield Substation to Massard Substation 161kV,,9984.0,,,,,Yes
27,165570634,166760231,161000,3,line,,Massard Substation to Whiteside Substation 161kV,,7791.0,,,,,
28,165570634,185742633,161000,,line,,Massard - Johnson 161kV,,9369.0,,,,,
29,165570634,166669052,161000,3,line,,Barling Substation to Massard Substation 161kV,,4535.0,,,,,
30,165571662,165571663,161000,,line,,Twin Bridges-Alma 161kV,,6151.0,,,,,
31,165571662,165571664,161000,,line,,Alma-Simmons 161kV,,8267.0,,,,,
32,165633360,166669051,161000,,line,,Third Street Substation to J Street Substation 161kV,,789.0,,,,,
33,165633360,165633357,161000,,line,,Arkoma Substation to Third Street Substation 161kV,,3895.0,,,,,
34,204339803,204339804,161000,3,line,60,,,29382.0,,,,,
35,210541173,206790085,161000,,line,,,,7561.0,,,,,
36,210541173,199430374,161000,,line,,,,4995.0,,,,,
37,210541174,199430374,161000,,line,,,,6098.0,,,,,
38,216359039,258531329,161000,,line,,,,9201.0,,,,,
39,216359039,216359042,161000,,line,,,,14171.0,,,,,
40,216359042,201513179,161000,,line,,,,28525.0,,,,,
41,169194120,165573977,161000,,line,,Fayetteville - Fayetteville South 161kV,,3211.0,,,,,
42,169194120,211412304,161000,,line,,,,9185.0,,,,,
43,169194120,473449831,161000,6,line,,,,5662.0,,,,,
44,169194120,169194123,161000,,line,,,,4857.0,,,,,
45,169194121,169194125,161000,,line,,,,2091.0,,,,,
46,169194121,165573977,161000,,line,,,,6680.0,,,,,
47,169194121,169194124,161000,6,line,,,,3875.0,,,,,
48,169194122,212225408,161000,6,line,,,,11660.0,,,,,
49,169194122,169194123,161000,6,line,,,,4644.0,,,,,
50,169194125,107876565,161000,,line,,,,7390.0,,,,,
51,223368645,223368644,161000,3,line,60,,,13947.0,,,,,
52,165570502,165633357,161000,3,line,,Fort Smith Substation to Arkoma Substation 161kV,,7188.0,,,,,
53,165570502,166669052,161000,6,line,,,,11697.0,,,,,Yes
54,165570502,165633365,161000,6,line,,-Fort Smith Substation to Colony Substation 161kV,,3530.0,,,,,Yes
55,165570502,222584526,161000,,line,,,,8010.0,,,,,
56,165573296,211412304,161000,,line,,,,16611.0,,,,,
57,165573296,159810873,161000,6,line,60,,,19689.0,,,,,Yes
58,165573296,107876565,161000,3,line,60,,,29607.0,,,,,
59,165573296,222420736,161000,,line,,,,12458.0,,,,,
60,165573296,222420733,161000,,line,,,,12160.0,,,,,
61,223368649,223368641,161000,3,line,60,,,950.0,,,,,
62,201217217,201217218,161000,,line,,,,9587.0,,,,,
63,201217218,199430379,161000,,line,,,,42033.0,,,,,
64,201217218,199430380,161000,6,line,,,,55887.0,,,,,
65,201217218,201513179,161000,,line,,,,95059.0,,,,,
66,223368651,223368643,161000,3,line,60,,,3406.0,,,,,
67,165571664,200391580,161000,,line,,Simmons - Helberg 161kV,,29350.0,,,,,
68,222584523,222584526,161000,,line,,,,3772.0,,,,,
69,107876565,211516635,161000,,line,,,,5998.0,,,,,
70,107876565,212498256,161000,,line,,,,8099.0,,,,,
71,211516635,212225408,161000,,line,,,,6360.0,,,,,
72,199430374,199430377,161000,,line,,,,160.0,,,,,
73,199430379,166132049,161000,,line,,,,57501.0,,,,,
74,199430380,206790086,161000,,line,,,,2942.0,,,,,
75,199430380,106097120,161000,,line,,,,4800.0,,,,,
76,168228084,202907989,161000,3,line,60,,,257.0,,,,,
77,168228084,168232347,161000,6,line,60,,,16658.0,,,,,Yes
78,166669051,165633358,161000,3,line,,J Street Substation to Oak Park Substation 161kV,,6377.0,,,,,
79,222420733,109917474,161000,6,line,,,,15014.0,,,,,
80,222420733,222420736,161000,,line,,,,16456.0,,,,,
