l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,35656716,33108052,115000,3,line,60,-Moraga - San Leandro 115kV transmission line,,17616.0,,,,,Yes
2,35656716,33111585,115000,,line,,115 kV transmission line,PG&E,6111.0,,,,,
3,109355539,23805620,115000,3,line,60,,Pacific Gas & Electric Co.,32833.0,,,,,Yes
4,93288988,181914725,115000,6,line,60,,,54159.0,,,,,
5,32217118,405561526,115000,3,line,,,PG&E,40214.0,,,,,Yes
6,33111585,33111643,115000,6,line,,-Eastshore to Grant 115 kV transmission line,PG&E,6749.0,,,,,
7,86463530,86573554,115000,3,line,,,PG&E,29224.0,,,,,Yes
8,86463530,150562248,115000,3,line,,,PG&E,66114.0,,,,,Yes
9,86463530,86491045,115000,3,line,,,PG&E,21535.0,,,,,Yes
10,407058988,32050965,115000,3,line,,,PG&E,58212.0,,,,,Yes
11,61659182,182604563,115000,3,line,60,,,31500.0,,,,,Yes
12,148273199,407048112,115000,3,line,,,SMUD,9159.0,,,,,Yes
13,148273199,28566617,115000,3,line,,,SMUD,10490.0,,,,,Yes
14,148273199,143937875,115000,3,line,,,SMUD,15187.0,,,,,Yes
15,35732660,92107752,115000,6,line,,,,25464.0,,,,,
16,35732660,35763387,115000,3,line,,-Pittsburg - Clayton 115kV transmission line,,13375.0,,,,,Yes
17,35732660,35798740,115000,6,line,,,,16586.0,,,,,
18,33108052,112306422,115000,3,line,60,,,8133.0,,,,,Yes
19,119408726,119409662,115000,,line,,,Pacific Gas & Electric Co.,6967.0,,,,,
20,28566617,32526610,115000,3,line,,,SMUD,11301.0,,,,,Yes
21,28566617,143937875,115000,3,line,,,SMUD,5728.0,,,,,Yes
22,33111643,59470569,115000,6,line,,Dumbarton 115 kV tap-Eastshore - Dumbarton 115 kV transmission line,PG&E,10786.0,,,,,
23,35763387,35763516,115000,6,line,,,,8850.0,,,,,
24,86463615,91333377,115000,3,line,,,PG&E,19430.0,,,,,
25,35660929,33106247,115000,3,line,,,,4456.0,,,,,
26,4630372,25793704,115000,,line,,-Ravenswood - Ames 115kV transmission line,,11335.0,,,,,
27,117401235,23805620,115000,3,line,60,-Metcalf - El Patio 115 kV transmission line,PG&E,23142.0,,,,,Yes
28,400341157,400340186,115000,3,line,,,,2368.0,,,,,
29,25793704,24294714,115000,,line,,Ravenswood - San Mateo 115kV transmission line,,19271.0,,,,,
30,25793704,48203963,115000,,line,,115kV transmission line,,2604.0,,,,,
31,81232561,233812416,115000,3,line,,,,81519.0,,,,,
32,32794290,32050965,69000,3,line,,,,9273.0,,,,,Yes
33,23805620,119409662,115000,3,line,60,-Piercy - Metcalf 115 kV transmission line,,7586.0,,,,,Yes
34,23805620,38653255,115000,3,line,60,,,17112.0,,,,,Yes
35,120342208,28875096,115000,,line,,,,7535.0,,,,,
36,181630666,181457842,115000,3,line,,,PG&E,91006.0,,,,,Yes
37,43951315,33106247,115000,3,line,,,,8571.0,,,,,
38,35798740,35799514,115000,3,line,,,,3002.0,,,,,Yes
39,32526610,93950956,115000,3,line,,,SMUD,7481.0,,,,,Yes
40,32050965,407070542,115000,3,line,,,,31527.0,,,,,Yes
41,32050965,103099270,115000,3,line,,,PG&E,41241.0,,,,,Yes
42,30410527,37121892,115000,3,line,,Antlantic - Pleasant Grove--Antlantic - Pleasant Grove #2,PG&E-Pacific Gas and Electric,8525.0,,,,,Yes
43,24294714,27058652,115000,6,line,,Ravenswood - San Mateo 115kV transmission line,,4270.0,,,,,
44,24294714,112285108,115000,6,line,,San Mateo - Belmont 115kV transmission line,,10257.0,,,,,
45,112445764,33106247,115000,3,line,60,,,13358.0,,,,,Yes
46,35479377,33106247,115000,3,line,60,-115kV transmission line,,12663.0,,,,,Yes
47,37691256,407048112,115000,3,line,,,,9388.0,,,,,Yes
48,86491045,150562248,115000,3,line,,,PG&E,44964.0,,,,,Yes
49,86491045,86792689,115000,3,line,,,PG&E,19037.0,,,,,Yes
50,169507757,169507758,115000,3,line,,,,48.0,,,,,
51,169507757,169507766,115000,3,line,,,,9492.0,,,,,Yes
52,167005121,119718927,138000,3,line,,,San Diego Gas & Electric,71.0,,,,,
53,49048130,80213764,138000,6,line,60,,LADWP,17938.0,,,,,
54,49048130,394549585,138000,6,line,60,,Los Angeles Department of Water and Power-LADWP,5227.0,,,,,
55,80213764,80213757,138000,3,cable,60,,Los Angeles Department of Water and Power,5342.0,,,,,Yes
56,80213764,74839059,138000,6,line,60,,,9296.0,,,,,
57,167005126,167005125,138000,,line,,,San Diego Gas & Electric,18691.0,,,,,
58,167005126,119718927,138000,,line,,,San Diego Gas & Electric,29463.0,,,,,
59,393475144,394710539,138000,,cable,60,,Los Angeles Department of Water and Power,6693.0,,,,,
60,393475144,159759778,138000,,line,60,,Los Angeles Department of Water and Power,6270.0,,,,,
61,119718924,119718927,138000,3,line,,,San Diego Gas & Electric,87.0,,,,,
62,159759778,394549585,138000,6,cable,60,,Los Angeles Department of Water and Power,8376.0,,,,,
63,33808384,91834998,220000,,line,,,,2290.0,,,,,
64,169674290,169514309,220000,3,line,60,,,79858.0,,,,,
65,169674290,169674285,220000,3,line,60,,,9284.0,,,,,
66,169674290,169674294,220000,3,line,60,,,10728.0,,,,,
67,169674290,169674288,220000,3,line,60,,,11754.0,,,,,
68,169674290,169674289,220000,3,line,60,,,11998.0,,,,,
69,169674290,169326813,220000,3,line,60,,,16272.0,,,,,
70,169674290,169402989,220000,3,line,60,,,79853.0,,,,,
71,40309253,133585863,220000,3,line,60,,,79550.0,,,,,Yes
72,40309253,41265171,220000,3,line,60,,Southern California Edison,14624.0,,,,,Yes
73,40309253,91834998,220000,3,line,60,,,64327.0,,,,,Yes
74,40309253,27340751,220000,3,line,60,,,41284.0,,,,,Yes
75,32663174,76344891,0,11,line,0,3 x 220 kV + Electrode Line of HVDC Pacific DC Intertie,,5742.0,,,,,Yes
76,32663174,184909077,0,3,line,0,-3 x 220 kV + Electrode Line of HVDC Pacific DC Intertie,,14437.0,,,,,Yes
77,169403015,169402989,220000,3,line,60,,,53295.0,,,,,
78,169403015,168937751,220000,3,line,60,,,49439.0,,,,,Yes
79,169403015,168525615,220000,3,line,60,,,57063.0,,,,,Yes
80,49715848,394895304,220000,3,line,60,,Southern California Edison Company,2957.0,,,,,Yes
81,49715848,394895298,220000,3,line,60,,Southern California Edison Company,3412.0,,,,,Yes
82,77452171,77452160,220000,3,line,,,,76.0,,,,,
83,78797580,66157642,220000,6,line,60,,Southern California Edison Company,11272.0,,,,,
84,78797580,66209607,220000,6,line,60,,Southern California Edison Company,8023.0,,,,,
85,61960845,64161681,220000,3,line,60,,Southern California Edison,5056.0,,,,,Yes
