n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
35656716,-122.148604674,37.7105437094,station,0,,San Leandro Substation,,
33108052,-122.161080377,37.847902318,station,0,,Moraga Substation,,
33111585,-122.159555713,37.6714137023,station,0,,Grant Substation,,
109355539,-121.557308352,37.0072676514,sub_station,0,,,,
23805620,-121.744163902,37.2255769192,substation,0,,Metcalf Substation,Pacific Gas & Electric Co.,
93288988,-120.581687506,36.6534263077,station,0,,Panoche Substation,Pacific Gas & Electric,
181914725,-120.138562721,36.4020759835,station,0,,,,
32217118,-121.40778007,38.5481862484,station,0,,Brighton Substation,,
405561526,-121.590355735,38.2315710805,substation,0,,Grand Island Substation,,
33111643,-122.117131406,37.6248092938,sub_station,0,,Eastshore Substation,PG&E,
86463530,-121.542483457,38.9097339789,station,0,,,PG&E,
86573554,-121.623973676,39.0959064739,station,0,,,PG&E,
150562248,-121.517795662,39.45417422,station,0,,,,
86491045,-121.543068189,39.0920196925,substation,0,,,PG&E,
407058988,-121.024541847,38.2268745276,substation,0,,,,
32050965,-121.136832824,38.657557426,station,0,,Gold Hill Substation,PG&E,
61659182,-119.818746535,36.7183177589,sub_station,0,,,,
182604563,-119.639366677,36.6106630919,substation,0,,McCall Substation,Pacific Gas & Electric,
148273199,-121.430629955,38.5538059232,station,0,,East City Substation,,
407048112,-121.355226401,38.5083230778,substation,0,,Hedge Substation,SMUD,
28566617,-121.417996374,38.5872858892,station,0,,Hurley Substation,SMUD,
143937875,-121.474254992,38.5880637998,station,0,,North City Substation,SMUD,
35732660,-121.895826576,38.036782621,substation,0,,,,
92107752,-122.116205586,38.0153515168,station,0,,,,
35763387,-121.969346976,37.9442547604,station,0,,,,
35798740,-121.782613976,37.9993091061,station,0,,Contra Costa Substation,,
112306422,-122.23127315,37.8053978713,substation,0,,Oakland X Substation,,
119408726,-121.797023203,37.3224781123,sub_station,0,,,Pacific Gas & Electric Co.,
119409662,-121.787315583,37.2689593588,station,0,,Piercy Substation,,
32526610,-121.486385741,38.6503019094,station,0,,Natomas Substation,,
59470569,-122.057872894,37.5570682132,station,0,,Dumbarton Substation,PG&E,
35763516,-122.057405038,37.9087222195,station,0,,Lakewood Substation,,
86463615,-121.466792378,38.9351996724,substation,115000,,Rio Oso Substation,PG&E,Yes
91333377,-121.294143769,38.9005353768,sub_station,0,,,,
35660929,-122.187035666,37.8759811318,station,0,,East Portal Substation,,
33106247,-122.208309227,37.9055194807,station,0,,Sobrante Substation,,
4630372,-122.06712186,37.4178658449,substation,115000,,Ames Substation,PG&E,
25793704,-122.137852273,37.4928723354,substation,0,,Ravenswood Substation,,
117401235,-121.935707036,37.2917208016,station,115000,,El Patio Substation,PG&E,
400341157,-121.939443393,37.4936754019,substation,0,,,,
400340186,-121.944452535,37.5124430482,substation,0,,,,
24294714,-122.318980367,37.5828128994,station,0,,San Mateo Substation,,
48203963,-122.127913733,37.4737330138,station,0,,Cooley Landing Substation,,
81232561,-116.854876884,34.8604115369,substation,115000,60,,,
233812416,-115.468970309,35.5443771176,substation,0,,,,
32794290,-121.059450631,38.6557273689,substation,0,,Clarksville Substation,Pacific Gas and Electric,
38653255,-121.840961891,37.3030766268,sub_station,0,,,,
120342208,-121.921311643,37.4575522638,station,0,,Milpitas Substation,,
28875096,-121.986619149,37.500904601,substation,0,,PG&E Newark Substation,PG&E,
181630666,-120.527654766,37.9462475759,station,0,,,,
181457842,-120.370278406,38.1383170889,generator,0,,,,
43951315,-122.302797342,37.9163606223,station,0,,El Cerrito Substation,,
35799514,-121.762155471,38.0151615486,sub_station,0,,,,
93950956,-121.477470098,38.7134290128,station,0,,Elverta Substation,SMUD,
407070542,-120.824679572,38.6946302407,substation,0,,Missouri Flat Substation,Pacific Gas & Electric,
103099270,-121.09167964,38.9467776935,sub_station,0,,Bell Substation,PG&E,
