n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
66154498,-105.107308797,39.746931165,substation,0,,,source,
64341967,-105.122677941,39.7890661978,substation,230000,,Ridge Substation,,
66201173,-105.060867575,39.7345513324,substation,115000,,Gray Street Substation,Xcel Energy,
95745933,-105.019065016,39.7373515609,substation,230000;115000,60,Zuni Switchyard,Xcel Energy,
334573059,-105.075475152,40.6832823044,substation,0,,,,
138397897,-105.01129925,40.6186314751,station,0,,Richard Lake Substation,PRPA,
162921990,-107.611380789,38.8095288655,sub_station,0,,,,
247730182,-107.724807464,38.7866171439,station,0,,,,
361493001,-104.773614974,40.2471916752,substation,0,,,,
104303714,-104.773272955,40.1003981301,substation,230000,,Fort Lupton Substation,,
105107827,-104.641275519,40.1175359372,substation,0,,Hudson Substation,,
104068619,-104.702367765,38.6320872667,substation,0,,Nixon Substation,,
104066138,-104.689723559,38.5609098031,substation,230000,,Midway Substation,,
134153230,-105.034614829,40.2343790411,substation,230000;115000,,Longs Peak Substation,,
134152074,-105.060500892,40.1628247515,substation,115000,,,,
291781411,-105.092537175,40.1964603331,substation,0,,,,
64225295,-105.202872765,39.7341440076,substation,230000;115000,60,Lookout Substation,Xcel Energy,
105692127,-105.158044565,39.6325385881,station,0,,Soda Lakes Substation,,
42377520,-105.071422746,39.4971618228,substation,0,,Waterton Substation,,
105692136,-105.122632145,39.5540128477,station,0,,Deer Creek Substation,,
64283671,-105.182232247,39.773636318,substation,115000,60,Quaker Substation,Xcel Energy,
334624417,-105.151106577,39.7331943058,substation,115000,60,,Xcel Energy,
127489041,-106.192076614,38.9589274943,station,0,,,,
133651009,-106.325440691,39.1887277018,substation,230000,,Malta Substation,,
219196946,-104.832130577,39.7505963689,substation,115000,,Xcel Energy Substation,,
219359355,-104.812762582,39.7618285831,substation,0,,,source,
288409626,-104.827448317,39.7382262717,substation,115000,,Fitzsimons Substation,,
162586133,-108.414720034,39.0469810713,substation,345000,,Grand Junction Substation,,
105557952,-107.9503039,38.4381139902,substation,115000,,Montrose Substation,,
364720575,-104.714923547,39.6307444293,substation,230000,,Smoky Hill Substation,Public Service Company of Colorado (Xcel Energy),
17147931,-102.889759549,40.1484760112,substation,0,,,,
17147604,-103.210872719,40.1473477113,substation,0,,,,
290847579,-103.157567074,40.9495757334,substation,0,,,,
290847580,-103.113739151,40.9499553459,substation,0,,,,
247765913,-107.91704338,38.5168656211,station,0,,,,
292069414,-102.320531648,40.5830923178,substation,0,,,,
292069415,-102.627601315,40.634803102,substation,0,,,,
300053438,-102.264623513,40.3517118808,substation,0,,,,
397588059,-102.761285548,40.6607277845,substation,0,,,,
14080092,-102.050881625,40.3602720083,substation,0,,,,
300980579,-101.987070281,40.5658283216,substation,0,,,,
167563850,-102.259483848,40.0861591277,substation,0,,Wray Substation,,
