l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,139886605,140953505,115000,,line,,,CL&P,10212.0,,,,,
2,139886605,140386351,115000,,line,,,CL&P,16323.0,,,,,
3,139886605,140027078,115000,6,line,,,,17766.0,,,,,
4,139886605,140027085,115000,,line,,-115kV transmission line,,25466.0,,,,,
5,139886605,140027076,115000,6,line,,,,13501.0,,,,,Yes
6,139886605,140027081,115000,,line,,,,9877.0,,,,,
7,139886605,140175121,115000,6,line,,-Southington - Todd 115kV transmission line-115kV transmission line,CL&P,3614.0,,,,,Yes
8,139886605,140175133,115000,6,line,,-Southington - Todd 115kV transmission line,CL&P,9712.0,,,,,Yes
9,140983824,139232239,115000,,line,,115kV transmission line,CL&P,9854.0,,,,,
10,140155928,140415423,115000,,line,,-Mystic to Montville 115kV transmission line,,23893.0,,,,,
11,140155928,139553666,115000,3,line,,-Montville - Card - Lisbon - Tunnel 115kV transmission line,CL&P,34939.0,,,,,
12,140155928,140435443,115000,3,line,,-Montville - Card - Lisbon - Tunnel 115kV transmission line-Fort Hill Farms - Stockhouse 115kV transmission line-Bean Hill - Dudley Tap 115kV transmission line,,19233.0,,,,,
13,140155928,140435412,115000,6,line,,-Bean Hill - Tunnel 115kV transmission line-Bean Hill - Dudley Tap 115kV transmission line,,27046.0,,,,,Yes
14,140990212,141135046,115000,6,line,,Norwalk - Hawthorne 115kV transmission line,CL&P,10058.0,,,,,
15,140990212,140990211,115000,6,line,,115kV transmission line,,12149.0,,,,,
16,140834333,96321733,115000,,line,,115kV transmission line,,11986.0,,,,,
17,140291622,140179012,115000,,line,,115kV transmission line,,17879.0,,,,,
18,140291622,140295802,345000,6,line,,Long Mountain - Plumtree 345kV transmission line-115kV transmission line,,23961.0,,,,,Yes
19,140386351,140386944,115000,3,line,,Dooley - Westside 115kV transmission line,CL&P,12636.0,,,,,
20,140386351,76438681,115000,3,line,,,CL&P,11279.0,,,,,
21,140386351,140979488,115000,3,line,,,CL&P,5757.0,,,,,
22,140386351,140953507,115000,3,line,,,CL&P,17667.0,,,,,
23,139890741,140175127,115000,6,line,,115kV transmission line,,2588.0,,,,,Yes
24,139890741,140179012,115000,,line,,115kV transmission line,CL&P,15903.0,,,,,
25,139890741,140027085,115000,3,line,,115kV transmission line,CL&P,21212.0,,,,,
26,139890741,140182329,115000,6,line,,115kV transmission line,CL&P,16521.0,,,,,Yes
27,139890741,140175133,115000,6,line,,Frost Bridge - Noera - Todd 115kV transmission line,CL&P,9099.0,,,,,
28,140041805,139232219,115000,6,line,,Barbour Hill - Rockville 115kV transmission line,,7317.0,,,,,
29,140041813,139232239,115000,,line,,Manchester - Barbour Hill 115kV transmission line-115kV transmission line-South Windsor - Barbour Hill 115kV transmission line,CL&P,14479.0,,,,,
30,140041813,139232219,115000,,line,,115kV transmission line-South Windsor - Barbour Hill 115kV transmission line,CL&P,7424.0,,,,,
31,139730006,141130147,115000,3,line,,Middletown - Portland 115kV transmission line,CL&P,1020.0,,,,,
32,139730006,140383642,115000,3,line,,Middletown - Dooley 115kV transmission line,CL&P,10423.0,,,,,
33,139730006,140383643,115000,6,line,,Middletown - Haddam 115kV transmission line,CL&P,22013.0,,,,,Yes
34,140041817,139232219,115000,6,line,,Barbour Hill - Windsor Locks 115kV transmission line,CL&P,11916.0,,,,,
35,140440159,140440174,115000,6,line,,Montville - Williams - Flanders 115kV transmission line,,13690.0,,,,,
36,112265824,139250954,115000,,line,,South Agawam - North Bloomfield 115kV transmission line,CL&P,23678.0,,,,,
37,112265824,57836774,115000,,line,,North Bloomfield - Farmington 115kV transmission line,,18718.0,,,,,
38,112265824,141278233,115000,,line,,North Bloomfield - Southwick 115kV transmission line,CL&P,15991.0,,,,,
39,142411452,142411455,115000,,line,,,,4690.0,,,,,
40,142411452,142411453,115000,,line,,,,2025.0,,,,,
41,140300402,140295802,115000,,line,,115kV transmission line,,9655.0,,,,,
42,140300402,140300404,115000,,line,,115kV transmission line,,10582.0,,,,,
43,140300404,140829170,115000,6,line,,115kV transmission line,CL&P,14050.0,,,,,
44,140300404,140175108,115000,,line,,115kV transmission line,,21773.0,,,,,
45,140300404,140829165,115000,6,line,,115kV transmission line,,18844.0,,,,,
46,140300404,140829155,115000,6,line,,115kV transmission line,,16483.0,,,,,
47,140300404,140829159,115000,6,line,,115kV transmission line,CL&P,21544.0,,,,,
48,140300405,140295802,115000,,line,,115kV transmission line,,2822.0,,,,,
49,140386944,140383642,115000,3,line,,Dooley - Westside 115kV transmission line,CL&P,14697.0,,,,,
50,141264160,141264181,115000,3,line,,Shepaug - Bates Rock 115kV transmission line,,8913.0,,,,,
51,76438681,57836774,115000,,line,,Farmington - Newington - East New Britain 115kV transmission line,,5699.0,,,,,
52,96321733,140311237,115000,,line,,115kV transmission line,,8031.0,,,,,
53,96321733,288016194,115000,,line,,115kV transmission line,,6203.0,,,,,
54,141135012,141135041,115000,12,line,60,Norwalk - Norwalk Harbor 115kV transmission line,CL&P,3665.0,,,,,Yes
55,141135012,141143907,115000,12,line,60,Norwalk Harbor - Glenbrook 115kV transmission line-Norwalk - Norwalk Harbor 115kV transmission line,CL&P,8962.0,,,,,Yes
56,141135012,141135046,115000,12,line,60,-Norwalk - Norwalk Harbor 115kV transmission line,CL&P,5019.0,,,,,Yes
57,141135046,141135047,115000,6,line,,Norwalk - Weston 115kV transmission line,CL&P,5968.0,,,,,
58,140851900,135692647,115000,,line,,115kV transmission line,,3784.0,,,,,
59,140851900,140847553,115000,,line,,115kV transmission line,,7072.0,,,,,
60,140851900,140847548,115000,,line,,115kV transmission line,,13950.0,,,,,
61,142411453,142411454,115000,,line,,,,1954.0,,,,,
62,142411455,141310696,115000,,line,,,,6605.0,,,,,
63,140838595,140334526,115000,,line,,115kV transmission line,,53368.0,,,,,
64,140838595,140829159,115000,6,line,,115kV transmission line,,74068.0,,,,,Yes
65,140311237,141135047,115000,,line,,115kV transmission line,,3192.0,,,,,
66,140411092,140404135,115000,6,line,,115kV transmission line,,41471.0,,,,,Yes
67,141177561,141143907,115000,3,line,,,CL&P,4238.0,,,,,
68,141130147,139541388,115000,3,line,,Portland - Hopewell 115kV transmission line,CL&P,14700.0,,,,,
69,140990211,140829159,115000,6,line,,115kV transmission line,,14915.0,,,,,
70,140175108,140175127,115000,6,line,,115kV transmission line,,3811.0,,,,,Yes
71,140175108,140829163,115000,6,line,,115kV transmission line,,3323.0,,,,,Yes
72,141271858,140990925,115000,,line,,,,5060.0,,,,,
73,141271858,141177702,115000,6,line,,,CL&P,16755.0,,,,,Yes
74,140011332,139553666,115000,6,line,,115kV transmission line,CL&P,1301.0,,,,,Yes
75,140994897,140415426,115000,,line,,,,12783.0,,,,,
76,141143897,141143943,115000,6,line,,-Cos Cob - Tomac - South End 115kV transmission line,CL&P,3896.0,,,,,Yes
77,141143897,141143930,115000,6,line,,-Cos Cob - Tomac - South End 115kV transmission line,CL&P,5814.0,,,,,Yes
78,141143907,141143930,115000,9,line,,South End - Glenbrook 115kV transmission line,CL&P,2232.0,,,,,
79,139553666,140435443,115000,3,line,,Stockhouse - Card 115kV transmission line,CL&P,17208.0,,,,,
80,140383643,140937135,115000,6,line,,Haddam - Bokum 115kV transmission line,CL&P,19134.0,,,,,Yes
81,140937135,140937139,115000,3,line,,Bokum - Green Hill 115kV transmission line,CL&P,18265.0,,,,,
82,140937139,140937143,115000,3,line,,Stepstone to Green Hill 115kV transmission line,CL&P,8976.0,,,,,
83,140847540,140937143,115000,3,line,,Stepstone to Branford 115kV transmission line,CL&P,9549.0,,,,,
84,140415423,140415426,115000,,line,,Mystic to Shunock 115kV transmission line,,12795.0,,,,,
85,140990924,140990925,115000,,line,,115kV transmission line,,6194.0,,,,,
86,140829159,140829170,115000,,line,,115kV transmission line,,7567.0,,,,,
87,139553666,140404129,345000,3,line,,Card - Lake Road 345kV transmission line,CL&P,47118.0,,,,,
88,139553666,140155928,345000,3,line,,Millstone - Card 345kV transmission line-Millstone - Montville 345kV transmission line,CL&P,60738.0,,,,,
89,139553666,43050362,345000,6,line,,Millstone - Card 345kV transmission line-345kV transmission line,CL&P,46282.0,,,,,Yes
90,139886600,49810081,345000,9,line,,Haddam Neck - Scovill Rock 345kV transmission line-Millstone - Haddam - Beseck 345kV transmission line,,29345.0,,,,,Yes
91,139886600,49810097,345000,6,line,,Haddam Neck - Scovill Rock 345kV transmission line-Millstone - Haddam - Beseck 345kV transmission line,CL&P,23033.0,,,,,Yes
92,139886600,43050362,345000,6,line,,Millstone - Haddam - Beseck 345kV transmission line,CL&P,66893.0,,,,,Yes
93,139886605,139890741,345000,3,line,,Frost Bridge - Southington 345kV transmission line,CL&P,20473.0,,,,,
94,139886605,49810097,345000,3,line,,Scovill Rock - Southington 345kV transmission line,CL&P,31041.0,,,,,
95,140155928,49810081,345000,,line,,Haddam Neck - Montville 345kV transmission line,,36441.0,,,,,
96,101892508,112265824,345000,3,line,,North Bloomfield - Northeast Simsbury - Canton 115kV transmission line,,19806.0,,,,,
97,49810097,140172255,345000,6,line,60,-East Shore - Scovill Rock 345kV transmission line,CL&P,52617.0,,,,,Yes
98,49810097,175773280,345000,6,line,60,-East Shore - Scovill Rock 345kV transmission line,CL&P,52609.0,,,,,Yes
99,49810097,139730003,345000,3,line,,Scovill Rock - Kleen 345kV transmission line,CL&P,6095.0,,,,,
100,139890741,139896636,345000,3,line,,Long Mountain - Frost Bridge 345kV transmission line,CL&P,33323.0,,,,,
101,139896636,86251100,345000,3,line,,Pleasant Valley - Long Mountain 345kV transmission line,,37509.0,,,,,
102,139896636,140295802,345000,6,line,,Long Mountain - Plumtree 345kV transmission line,,28623.0,,,,,Yes
103,140404129,140012533,345000,,line,,Killingly - Lake Road 345kV transmission line-Killingly - Sherman Road 345kV transmission line,,26155.0,,,,,
104,139730003,139232239,345000,3,line,,Manchester - Kleen 345kV transmission line,,26788.0,,,,,
105,139232219,112265824,345000,3,line,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,29067.0,,,,,
106,139232219,139232239,345000,3,line,,Manchester - North Bloomfield - Barbour Hill 345kV transmission line,,12147.0,,,,,
