n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
71516164,-75.7309257546,39.6334106692,substation,230000,,,,Yes
71516148,-75.7265169383,39.6339106474,substation,138000,,,,
69963095,-75.5748157565,39.0154356116,substation,0,,,,
69963098,-75.5710686041,39.2041028657,substation,0,,,,
69824921,-75.579204099,38.8939561421,substation,0,,,,
71583374,-75.7133186956,39.7751175607,substation,0,,,,
71583534,-75.6285045691,39.7285126267,sub_station,0,,,,
71583518,-75.6300687435,39.7257371752,sub_station,0,,,,
71583376,-75.7494469208,39.6882496157,sub_station,0,,,,
71583187,-75.6936077382,39.6931158909,sub_station,0,,,,
95260178,-75.225571958,39.5719519068,station,0,,Upper Pittsgrove Substation,,
142178596,-75.5072486524,39.6830682982,sub_station,0,,Deepwater Substation,,
69812320,-75.6176283701,38.6658621788,station,0,,,,
69809995,-75.3999116014,38.8809613067,station,0,,,,
71583411,-75.6689486948,39.7304106161,sub_station,0,,,,
69468764,-75.2435171041,38.5856124696,station,0,,,,
69468758,-75.2394164911,38.5857464854,station,0,,,,
68301618,-75.7534728476,39.3951622204,station,0,,,,
68286515,-75.7427423528,39.4896181919,station,0,,Mt. Pleasant Substation,,
68301631,-75.8484914667,39.2426950645,station,0,,,,
69678656,-75.1915872231,38.7135313688,station,0,,,,
69678684,-75.1671244388,38.6760671997,sub_station,0,,,,
69678685,-75.0966928893,38.7087332898,substation,0,,,,
69468741,-75.2406035471,38.5837659607,substation,0,,,,
69810004,-75.3987080286,38.8822191943,sub_station,0,,,,
68848845,-75.5830854037,38.4654985558,station,0,,,,
67967182,-75.8431058503,39.6086930532,station,0,,Cecil Substation,,
71516126,-75.7715101132,39.6128018334,station,0,,,,
69576148,-75.0620497658,38.4033128318,sub_station,0,,,,
69576185,-75.0646438035,38.5240299444,substation,0,,,,
69468740,-75.2352263301,38.5855880107,generator,0,,,NRG Energy,
102135174,-75.4243014189,39.7676330182,sub_station,0,,Pedricktown Substation,,
102033582,-75.4052212097,39.7931490205,sub_station,0,,,,
68073269,-75.8165506938,38.8923951604,substation,0,,,,
68999642,-75.5016588978,38.2949438162,station,0,,,,
