l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,182398214,270628470,115000,3,line,60,,Alabama Power Company,40549.0,,,,,
2,170683969,170156524,115000,,line,,,,5637.0,,,,,
3,170683969,52019753,115000,,line,,,,21525.0,,,,,
4,170683969,170295993,115000,,line,,,,42368.0,,,,,
5,170166792,170166816,115000,3,line,,,,2767.0,,,,,
6,170166792,170166818,115000,3,line,,,,1993.0,,,,,
7,170166792,170166793,115000,3,line,,,,12905.0,,,,,
8,170166792,170166799,115000,3,line,,,,14926.0,,,,,
9,170166792,170166808,115000,6,line,,,,14033.0,,,,,Yes
10,170166792,52060780,115000,6,line,,,,7550.0,,,,,Yes
11,52019564,52019569,115000,,line,,,Georgia Power,8277.0,,,,,
12,170166800,170166816,115000,3,line,,,,89.0,,,,,
13,170166804,170166799,115000,3,line,,,,1654.0,,,,,
14,121886494,121702516,115000,,line,,115kV transmission line,,9249.0,,,,,
15,52019753,170156542,115000,,line,,,,41468.0,,,,,
16,52019753,170156514,115000,,line,,,,24257.0,,,,,
17,122004701,121857248,115000,,line,,,,11081.0,,,,,
18,175000626,175000639,115000,3,line,,,,2677.0,,,,,
19,382908218,132895707,115000,3,line,60,,Progress Energy,21560.0,,,,,
20,170156524,170156514,115000,,line,,,,464.0,,,,,
21,121702086,121701191,115000,,line,,,,13341.0,,,,,
22,165844041,165844045,115000,,line,,,,7533.0,,,,,
23,170156506,160308094,115000,,line,,,Georgia Power,15992.0,,,,,
24,170156506,52019569,115000,,line,,,Georgia Power,18176.0,,,,,
25,170156506,170156542,115000,,line,,,Georgia Power,16778.0,,,,,
26,122096221,122096223,115000,,line,,115 kV transmission line,,13739.0,,,,,
27,170156523,52019569,115000,,line,,,Georgia Power,7178.0,,,,,
28,172096000,172096004,230000,3,line,,,,10877.0,,,,,
29,172096000,164660268,230000,3,line,,,,14232.0,,,,,
30,174404608,174404609,230000,,line,,,,19772.0,,,,,
31,174404608,172096005,230000,,line,,,,43357.0,,,,,
32,53154820,177843299,230000,3,line,,,,56958.0,,,,,
33,53154820,174399121,230000,3,line,,,,74904.0,,,,,
34,53154820,171039375,230000,3,line,,,,56680.0,,,,,
35,53154820,174534089,230000,3,line,,,,36940.0,,,,,
36,53154820,163762723,230000,3,line,,,,84828.0,,,,,
37,172096005,165831924,230000,3,line,,,,48202.0,,,,,
38,172096005,172096004,230000,3,line,,,,33386.0,,,,,
39,170166791,170166801,230000,,line,,,,4635.0,,,,,
40,170166791,52019569,230000,,line,,,,13477.0,,,,,
41,177931272,177931230,230000,6,line,,,,8351.0,,,,,Yes
42,177931272,177931262,230000,6,line,,,,4988.0,,,,,Yes
43,178742281,159758301,230000,3,line,,,,44996.0,,,,,
44,178742281,175158197,230000,6,line,,,,5891.0,,,,,Yes
45,159061003,148903288,230000,3,line,,,,12799.0,,,,,
46,159061003,174710421,230000,3,line,,,,23559.0,,,,,
47,159061003,174697783,230000,3,line,,,,3440.0,,,,,
48,53270541,53270552,230000,3,line,,,,741.0,,,,,
49,52156430,171571429,230000,3,line,,,,17624.0,,,,,
50,52156430,52407184,230000,3,line,,,,12689.0,,,,,
51,171166735,171166737,230000,3,line,,,,1458.0,,,,,
52,171166735,159784565,230000,3,line,,,,24288.0,,,,,
53,171166735,163891152,230000,3,line,,,,15071.0,,,,,
54,171166735,163891164,230000,3,line,,,,12986.0,,,,,
55,171166735,171171652,230000,6,line,,,,26495.0,,,,,Yes
56,170166801,52060780,230000,,line,,,,8923.0,,,,,
57,170166803,52020827,230000,,line,,,,7223.0,,,,,
58,170166803,170166810,230000,,line,,,,4372.0,,,,,
59,163762708,163762719,230000,3,line,,,,21026.0,,,,,
60,163762708,171967077,230000,3,line,,,,6242.0,,,,,
61,163762708,171967073,230000,3,line,,,,15967.0,,,,,
62,163762708,163891145,230000,3,line,,,,8209.0,,,,,
63,53265941,53270552,230000,3,line,,,,31501.0,,,,,
64,53270552,171713848,230000,3,line,,,,227.0,,,,,
65,53270552,171713858,230000,3,line,,,,15546.0,,,,,
66,163762713,163762719,230000,3,line,,,,32614.0,,,,,
67,163762713,163762722,230000,3,line,,,,21125.0,,,,,
68,163762719,170999705,230000,3,line,,,,40909.0,,,,,
69,171540513,171540512,230000,3,line,,,,27552.0,,,,,
70,171540513,171540474,230000,3,line,,,,50197.0,,,,,
71,163762722,163762723,230000,3,line,,,,17660.0,,,,,
72,163762723,171730740,230000,3,line,,,,18725.0,,,,,
73,163762723,171730466,230000,3,line,,,,51273.0,,,,,
74,177931281,159758301,230000,3,line,,,,19150.0,,,,,
75,177931281,177931264,230000,3,line,,,,2257.0,,,,,
76,170991653,170991656,230000,,line,,,,12801.0,,,,,
77,170991653,160308063,230000,3,line,,,,55750.0,,,,,
78,171540518,52460256,230000,3,line,,,,42746.0,,,,,
79,171540518,171571429,230000,3,line,,,,19914.0,,,,,
80,171540518,171583087,230000,3,line,,,,31303.0,,,,,
81,171540518,171583088,230000,3,line,,,,29143.0,,,,,
82,171540518,171583091,230000,3,line,,,,13387.0,,,,,
83,171540518,256579730,230000,3,line,,,,1205.0,,,,,
84,171540519,171540528,230000,3,line,,,,5286.0,,,,,
85,170991656,170991661,230000,,line,,,,47262.0,,,,,
86,52019753,170156542,230000,,line,,,,41513.0,,,,,
87,52019753,170295993,230000,6,line,,,,41119.0,,,,,Yes
88,52019753,170296000,230000,3,line,,,,59591.0,,,,,
89,52019753,160308056,230000,3,line,,,,74194.0,,,,,
90,52019753,170685415,230000,3,line,,,,34873.0,,,,,
91,171967079,171967073,230000,3,line,,,,1082.0,,,,,
92,164660268,164660269,230000,3,line,,,,3263.0,,,,,
93,164660269,171039375,230000,3,line,,,,8987.0,,,,,
94,171540526,171540528,230000,6,line,,,,15150.0,,,,,Yes
95,171540526,171540512,230000,3,line,,,,7381.0,,,,,
96,175000623,175000637,230000,3,line,,,,4450.0,,,,,
97,175000623,175000634,230000,6,line,,,,8368.0,,,,,Yes
98,175000623,159758324,230000,6,line,,,,26670.0,,,,,Yes
99,175000623,175000624,230000,6,line,,,,19360.0,,,,,Yes
100,175000623,175000638,230000,6,line,,,,25031.0,,,,,Yes
101,180250120,159784565,230000,3,line,,,,861.0,,,,,
102,51815986,179892665,230000,6,line,,,,12330.0,,,,,Yes
103,171583070,177612855,230000,3,line,,,,5966.0,,,,,
104,171583070,177612863,230000,3,line,,,,10546.0,,,,,
105,171583070,171583083,230000,3,line,,,,3372.0,,,,,
106,171583070,171583091,230000,3,line,,,,22557.0,,,,,
107,176896777,175826909,230000,6,line,,,,21875.0,,,,,Yes
108,176896777,176896782,230000,3,line,,,,1640.0,,,,,
109,176896777,176906118,230000,3,line,,,,2942.0,,,,,
110,176896777,176896776,230000,3,line,,,,78.0,,,,,
111,175000632,175000626,230000,6,line,,,,7369.0,,,,,Yes
112,175000632,175000633,230000,3,line,,,,3369.0,,,,,
