n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
209884169,-87.6759138615,41.9307635843,substation,138000,60,Diversey Substation,Commonwealth Edison Company of Indiana,
28084754,-87.6970040159,41.945215161,substation,138000,60,Northwest Substation,Commonwealth Edison Company of Indiana,
449872370,-87.6462150153,41.9022960976,substation,138000,60,Crosby Substation,Commonwealth Edison,
89709585,-87.6040522904,41.4880305637,station,0,,,,
104299383,-87.7090437506,41.4919685918,substation,138000,60,Matteson Substation,Commonwealth Edison Company of Indiana,
89480216,-87.8255166518,41.4946433292,substation,345000,60,East Frankfort Substation,Commonwealth Edison Company of Indiana,
89705943,-87.7410968739,41.4336295419,station,0,,,,
89705946,-87.7525631635,41.4403825097,station,0,,,,
202145119,-87.8175129336,41.5442702153,sub_station,0,,,,
93204564,-88.0394415224,41.4915348744,substation,0,,,,
102575133,-88.1692813186,41.8283036776,substation,0,,Warrenville Substation,,
156582012,-88.233497022,41.7978867571,substation,345000,,Electric Light 345 kV,ComEd,
102577182,-88.2325088385,41.7075450429,substation,345000;138000,60,Wolfs Crossing Substation,Commonwealth Edison Company of Indiana,
102597846,-88.2983798296,41.70771404,substation,138000,60,Oswego Substation,,
93457004,-88.2081880212,41.6220232798,substation,0,,,,
178383395,-88.2350718149,42.2027591677,sub_station,0,,,,
43086055,-88.2509757569,42.2548821413,substation,138000,60,Silver Lake Substation,Commonwealth Edison Company of Indiana,
95999530,-88.2401360055,42.0636717022,station,0,,,,
43092005,-87.9755479627,42.3137531368,substation,345000;138000,60,Libertyville Substation,Commonwealth Edison Company of Indiana,
449913425,-87.8169763026,42.383557611,substation,138000,60,Waukegan Substation,Commonwealth Edison Company of Indiana,
26320534,-87.8969087753,42.0505405545,substation,345000;138000,60,Commonwealth Edison Des Plaines Substation (345kV & 138kV),Commonwealth Edison Company of Indiana,
43133388,-87.9198748828,42.1151901698,substation,345000;138000,60,Prospect Heights Substation,Commonwealth Edison,
95999528,-88.3446424556,42.0823343941,station,0,,,,
116856690,-88.2405423461,42.0044721246,substation,138000,60,Spaulding Substation,,
71870004,-88.0587508316,41.7996548618,substation,345000;138000,60,Lisle Substation,Commonwealth Edison,
177545384,-88.0433628849,41.8944908672,station,0,,,,
175821628,-87.9951478361,41.8401054716,station,0,,,,
33127849,-88.0645689032,41.6337485981,station,0,,,,
44758583,-88.866954802,42.2760177748,substation,138000,60,Belvidere Substation,Commonwealth Edison Company of Indiana,
42853607,-88.43971985,42.2567910939,sub_station,0,,Pleasant Valley Substation,,
95063618,-87.713381112,41.7564219104,substation,138000,60,Hayford Substation,Commonwealth Edison Company of Indiana,
52007676,-87.7657819225,41.7617252179,substation,345000;138000;34500,60,Bedford Park Substation,Commonwealth Edison Company of Indiana,
95063623,-87.7071028595,41.7271280572,station,0,,Evergreen Park Substation,ComEd,
28705347,-90.1786864439,38.6003274072,substation,0,,Cahokia Substation,,
176907954,-89.9553027181,38.4817229127,substation,0,,Turkey Hill Substation,Ameren Illinois,
52035154,-88.0003900941,41.6454312985,sub_station,0,,,,
52008692,-87.9326305878,41.6248523137,substation,345000;138000;34500,60,Goodings Grove Substation,Commonwealth Edison Company of Indiana,
95161939,-87.8485146875,41.7984967963,substation,0,,,,
44391737,-87.8231573552,41.8022274934,substation,0,,,,
42851924,-88.9692902589,42.2940264348,sub_station,0,,,,
43315609,-89.1927189351,42.3426514763,substation,0,,Wempletown Substation,Commonwealth Edison,
43529019,-89.0431873616,42.3614211052,sub_station,0,,,,
111536313,-88.1892491578,41.8064027447,station,0,,,,
181036332,-88.1477369462,41.8053179073,substation,0,,,,
148903010,-87.6426766865,41.8688903553,substation,138000;69000,60,Dekoven Substation,Commonwealth Edison Company of Indiana,
157657590,-87.6548442724,41.8503396031,plant,138000,60,Fisk Generating Station,Commonwealth Edison Company of Indiana,
