n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
184390016,-86.8311251521,40.36294467,station,0,,,,
179723390,-86.8532378126,40.4310046731,sub_station,0,,Lafayette 230 Substation,Duke Energy Indiana,
39815554,-85.3055978585,40.2367641663,substation,345000,,Desoto Substation,Indiana Michigan Power Company,
179076459,-85.3215758125,40.1924827453,substation,0,,,,
304848212,-85.3422573025,40.1480934198,substation,0,,,,
82109555,-85.6447127646,40.0869711664,substation,0,,,,
363306963,-85.4467089763,40.2227730679,substation,0,,,,
152946529,-85.4075321493,40.237990581,substation,0,,,,
363306972,-85.4585613013,40.1880601474,substation,0,,,,
391063456,-87.4961712098,39.4040737078,substation,0,,,,
391064251,-87.4960115951,39.402441673,substation,0,,,,
89607431,-85.9147529836,41.7136047012,substation,138000,60,,,
89620961,-85.9901990618,41.6589760338,substation,138000,60,,,
391023959,-86.3065566026,39.910461659,substation,0,,,,
178915020,-86.2733127107,39.8454412009,substation,0,,,,
391023957,-86.2626381006,39.9166122379,substation,0,,,,
89403408,-86.4837725311,41.7066236993,substation,345000;138000,,Olive Substation,,
89584414,-86.5067682807,41.7232896068,substation,138000,,New Carlisle Substation,AEP,
82291732,-86.0032637042,39.680383068,substation,0,,,,
391272891,-86.0487481756,39.7281604327,substation,0,,,,
391272890,-85.992188558,39.67156038,substation,0,,,,
81604245,-85.0952676871,41.1710097801,substation,345000;138000,,Robison Park Substation,AEP,
81780931,-85.0625982506,41.0702443507,substation,138000,,Lincoln Substation,,
251219380,-85.5896495519,41.4525532732,substation,138000,60,,American Electric Power,
391277592,-86.0505837347,39.7684783899,substation,0,,,,
153209370,-86.7681710922,40.7527038453,sub_station,0,,Monticello Substation,,
153209358,-86.8712841396,40.7708872864,substation,345000;138000,,Reynolds Substation,,
89597501,-86.2374704615,41.7120377014,substation,138000,,,AEP,
184390015,-86.8465943728,40.3762543272,station,0,,,,
184390011,-86.8580448402,40.3959244241,station,0,,,,
184390012,-86.848156104,40.3742961569,station,0,,,,
89400229,-85.1723495496,41.0608688001,station,0,,McKinley Substation,,
89400231,-85.1257007639,41.0252960349,station,0,,Hillcrest Substation,,
89400230,-85.0741942777,41.0249237277,station,0,,Wayne Trace Substation,,
89400236,-84.9774885793,41.0143266456,substation,345000;138000,60,,AEP,
89646000,-87.2825253433,41.5377662273,substation,345000,,Lake George Substation,NIPS,
89455868,-87.3690292152,41.4290990876,station,0,,,,
149698099,-85.8437998221,41.5650498122,substation,138000,,,,
89374665,-86.1367236472,41.668650728,substation,345000;138000,,Twin Branch Substation,Indiana Michigan Power Company,
89615678,-85.9588320184,41.7142242732,substation,0,,,,
89710645,-87.3989269432,41.4509189481,station,0,,St. John Substation,,
202150186,-87.4595082291,41.5273272594,substation,0,,,,
89547616,-86.1014921038,41.7949182804,substation,138000,,,,
178915006,-86.2282441859,39.8559257979,substation,0,,Guion Substation,Indianapolis Power & Light,
89455865,-87.0235216768,41.2203832572,substation,0,,Schahfer Station,,
422748738,-87.0155332885,41.2154566498,plant,0,,R.M. Schahfer Generating Station,,
184393177,-85.907411277,38.1834967094,station,0,,,,
62382201,-85.9075865855,38.0504082517,plant,0,,Mill Creek Generating Station,,
