n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
82004992,-70.2036871797,43.9316499231,sub_station,0,,Surowiec Substation,,
142764070,-70.1550810586,44.0594900776,substation,115000,,Crowleys Substation,Central Maine Power Company,
142750723,-70.4947085437,43.9441570907,substation,115000,,Eaymond Substation,Central Maine Power Company,
418197248,-70.1537078904,43.7517110617,plant,0,,Wyman Energy Center,,
147646738,-70.360270217,43.6516270659,substation,0,,Spring Street Substation,Central Maine Power Company,
142715660,-69.8348434921,43.9031963132,substation,115000,,Bath Substation,Central Maine Power Company,
142717879,-69.6715393925,43.991075449,substation,345000;115000,,Mason Substation,,
164187904,-68.7054690775,44.8241844034,sub_station,0,,Graham Substation,Central Maine Power Company,
168012304,-68.7058285785,44.8229331616,sub_station,0,,,Bangor Hydro-Electric Company,
141373736,-68.753862773,44.7402591684,substation,345000;115000,,Orrington Substation,,
164194313,-68.4540119859,44.5771259554,sub_station,0,,Boggy Brook Substation,Bangor Hydro-Electric Company,
147637608,-70.6337184783,44.1518028152,sub_station,0,,Kimball Road Substation,Central Maine Power Company,
141341446,-69.7462186252,44.3294234904,sub_station,0,,Augusta East Side Substation,Central Maine Power Company,
141341463,-69.8541348277,44.3313993247,sub_station,0,,Puddledock Rd,Central Maine Power Company,
141373730,-69.5632513367,44.2887384877,sub_station,0,,Maxcys Substation,Central,
147637639,-70.5281566603,44.2073398484,substation,115000,,Norway Substation,Central Maine Power Company,
130000598,-70.2085675745,44.1512623065,sub_station,0,,Gulf Island Substation,Central Maine Power Company,
164246381,-68.4587149452,44.5701366135,sub_station,0,,Ellsworth Substation,Bangor Hydro-Electric Company,
162931978,-69.6032326737,44.5695557136,sub_station,0,,Winslow Substation,Central Maine Power Company,
162931980,-69.5833201584,44.5744573308,sub_station,0,,,,
204673495,-70.6293436712,44.3894336828,substation,115000,,Woodstock Substation,Central Maine Power Company,
204673493,-70.5229981574,44.53165327,substation,115000,,Rumford Industrial Park Substation,Central Maine Power Company,
141341454,-69.8036258063,44.2543994469,sub_station,0,,Bowman Street Substation,Central Maine Power Company,
147646741,-70.3761190801,43.6568151975,sub_station,0,,Westbrook Substation,Central Maine Power Company,
142394414,-70.432373948,43.6442162328,substation,345000;115000,,South Gorham Substation,,
160552987,-69.9029337401,45.0709924818,sub_station,0,,Wyman Hydro Substation,Central Maine Power Company,
160373079,-69.3621448013,44.7928147779,sub_station,0,,Detroit Substation,Central Maine Power Company,
142732871,-69.558015668,44.0827166226,substation,0,,Newcastle Substation,Central Maine Power Company,
147637604,-70.2669588591,44.0681202761,substation,115000,,Hotel Road Substation,Central Maine Power Company,
147637609,-70.2117081442,44.0869372186,substation,115000,,Lewiston Lower Substation,,
147731755,-70.6068470681,43.4186517009,sub_station,0,,Branch Brook Substation,,
147731761,-70.8208713973,43.1682518918,substation,0,,Three Rivers Substation,,
142715706,-70.3997068157,43.6842644295,sub_station,0,,Moshers Substation,Central Maine Power Company,
147731762,-70.5032817715,43.5291365713,sub_station,0,,,,
147668607,-70.292538496,43.6544099446,substation,0,,Sewall Substation,Central Maine Power Company,
167655564,-69.1226303002,44.1022141718,sub_station,0,,Park Street Substation,Central Maine Power Company,
142732870,-69.2042834362,44.136491923,sub_station,0,,Highland Substation,Central Maine Power Company,
134311758,-70.5446311607,44.5372779214,substation,115000,,,,
204673490,-70.2481399766,44.5075293491,substation,115000,,Riley Substation,Central Maine Power Company,
168292435,-68.5295635259,45.3948379702,sub_station,0,,Keene Road Substation,,
164246382,-68.6017121253,45.2457368209,sub_station,0,,Enfield Substation,TVA,
168292437,-68.5782794867,45.6180010781,sub_station,0,,Powersville Road Substation,Bangor Hydro-Electric Company,
167678712,-69.3891636841,45.1602924528,sub_station,0,,Guilford Substation,Central Maine Power Company,
