n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
99284610,-90.3292873967,32.3111556124,substation,500000,,Ray Braswell Substation,,
138640111,-90.2858833999,32.2561074773,substation,115000,,Forest Hill Substation,,
138595444,-90.3243240318,32.3123624404,station,0,,Spring Ridge Road Substation,,
138595428,-90.3077373077,32.3311764772,station,0,,Clinton Substation,,
165359711,-90.4604848912,32.3120349973,sub_station,0,,,,
138604489,-90.2481027885,32.3023956438,station,0,,West Jackson Substation,,
138604484,-90.1878148044,32.2807305323,substation,230000,,South Jackson Substation,,
138640104,-90.2475430154,32.2531054027,substation,115000,,Southwest Jackson Substation,,
339574285,-91.3471987878,31.598761147,substation,115000,60,Natchez Substation,,
339582793,-91.3694172289,31.5680640167,substation,115000,60,Natchez Substation,,
139788302,-90.2146075124,32.3816863201,substation,500000;230000;115000,,Lakeover Substation,Entergy Mississippi,
138615955,-90.2138334487,32.3584599751,substation,115000,,Rex Brown 115kV Substation,,
165359004,-90.2042640856,32.4069291226,substation,0,,,,
138615952,-90.2165307396,32.3603638422,substation,230000,,Rex Brown 230kV Substation,,
138618812,-90.156584606,32.3860793774,substation,115000,,,,
339518754,-90.8925769186,32.3155673734,substation,115000,60,Vicksburg Substation,,
339518739,-90.9001073208,32.2950565046,substation,115000,60,,,
138661924,-90.0144986564,32.2828651126,station,0,,Brandon Substation,,
138661926,-90.0819044822,32.2486230146,station,0,,Whitfield Substation,,
138661925,-89.964460725,32.2884456412,station,0,,Rankin Substation,Entergy Mississippi,
138636199,-90.2084558681,32.3410951293,substation,115000,,Miami Substation,,
138636213,-90.1925477108,32.3082151644,substation,115000,,Monument Street Substation,,
138636211,-90.1918182355,32.2975606279,substation,115000,,Gallatin Substation,,
99456116,-90.6441143166,31.5243940255,substation,500000;115000,,Franklin Substation,,
139788287,-90.5867373487,31.4224480583,station,0,,Arlington Substation,,
138626902,-90.1772484507,32.2952154645,substation,115000,,East Jackson Substation,,
138630646,-90.1681128914,32.3299835047,substation,115000,,Medical Center Substation,,
165359714,-90.4008217095,32.2683779891,sub_station,0,,,,
165359717,-90.4055707111,32.2556869482,sub_station,0,,,,
98839598,-89.4347297473,34.7616288814,substation,161000,,Holly Springs Substation,TVA,
98068261,-89.7452839709,35.1739975869,substation,500000,,Cordova Substation,,
98699542,-88.8586124711,34.3775587391,station,0,,,,
98717614,-88.6964899979,34.25606608,substation,161000,,Tupelo Substation,TVA,
139788318,-88.6532774668,33.6356934358,station,0,,West Point Substation,TVA,
90962732,-90.048448139,34.9964221821,station,500000,,U.S. TVA FREEPORT 500 KV SUBSTATION,,
152826471,-90.1421964252,35.0724530947,plant,0,,Allen Fossil Plant,Tennessee Valley Authority,
98106301,-89.8769105072,35.0760632192,substation,161000,,Southeast Gate Substation,MLGW,
263961803,-88.6580446156,34.4497888366,substation,161000,,Guntown Substation,TVA,
98838319,-88.3980032885,34.2838460991,station,0,,,,
138626912,-90.1641977818,32.2616083575,station,0,,,,
165359712,-90.3713744887,32.3605788765,sub_station,0,,,,
90962691,-90.0399789245,34.9936916316,substation,0,,,,
106780294,-89.3536897529,31.281522135,station,0,,Hattiesburg Southwest Substation,Mississippi Power Company,
186559904,-89.3370433385,31.1939430877,station,0,,,,
186576152,-89.771660149,30.9267920764,station,0,,,,
186570753,-89.1016684171,31.6907966804,sub_station,0,,,,
186580858,-88.8347856318,32.1634443731,station,0,,,,
186577139,-88.6096214505,32.1045617869,station,0,,,,
107036682,-90.0655904644,32.5700597211,sub_station,0,,,,
186949692,-90.0541267702,32.5856965025,station,0,,,,
186995083,-90.0180933963,34.967633475,station,0,,,,
186935043,-90.1891407516,32.4539406903,station,0,,,,
186933836,-90.115801044,32.4073738636,substation,230000,,,,
186933828,-90.0550083911,32.349806498,substation,230000,,,,
186933833,-90.0981661498,32.4118782279,substation,230000,,,,
165359715,-90.219570663,32.3786986628,generator,0,,,,
165797608,-89.9067413495,30.7852343625,sub_station,0,,,,
186940708,-90.016616287,32.3587361733,station,0,,,,
186994190,-90.2630152307,34.8615433188,station,0,,,,
186994186,-90.1690757973,34.9390841402,station,0,,,,
186988851,-90.3838183417,34.671368873,station,0,,Tunica Substation,Entergy Mississippi,
98939040,-89.6816028396,33.0145604437,station,0,,McAdams Substation,Entergy Mississippi,
186973554,-90.633825871,33.4390991932,station,0,,Indianola Substation,Entergy Mississippi,
186951652,-89.6677956663,33.0121067979,station,0,,,,
186949697,-89.9363032394,32.9319392528,substation,0,,,,
186949693,-89.9995320653,32.6176617543,station,0,,,,
186949672,-90.1373596655,32.5154350043,station,0,,Bozeman Road Substation,Entergy Mississippi,
186949673,-90.0837060336,32.5113616903,station,0,,Yandell Road Substation,Entergy Mississippi,
186935880,-90.0793696006,32.4677885795,station,0,,,,
139893291,-88.516939462,30.3905920103,substation,0,,,,
25052353,-88.7675416271,30.417460041,substation,0,,,,
186370095,-88.5138066049,30.4125743362,substation,230000,,,,
165797604,-88.1966549418,30.5268531035,substation,230000;115000,60,Theodore Substation,,
165797603,-88.5532834423,30.5314638581,substation,500000;230000,60,Daniel Station,,
186438704,-88.5658758507,30.6479705991,substation,230000;115000,60,,,
419990965,-87.9994608589,31.0008791491,plant,0,,Barry Electric Generating Plant,,
186519100,-88.9212273646,30.4974011006,substation,0,,,,
186526644,-89.3358766909,30.9127115706,station,0,,,,
186986193,-90.4700847093,34.4800304038,station,0,,,,
186573893,-89.7286402933,30.2668199477,station,0,,,,
186539098,-89.5927226534,30.3099506517,station,0,,,,
186987595,-90.5623351192,34.1832431573,station,0,,,,
186539088,-89.3947153434,30.411584045,station,0,,,,
168978641,-88.7946796969,30.8758789615,sub_station,0,,,,
186403426,-88.5150127052,31.0217679819,substation,230000,60,,,
186986195,-89.9242592858,34.1897693634,station,0,,,,
107091304,-89.9351201064,34.3320379725,sub_station,0,,Batesville Substation,,
