n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
178012055,-74.0708649334,40.3390488606,station,0,,,,
178012056,-74.0713558256,40.3446768793,station,0,,,,
95587598,-74.8740838197,40.0752336713,substation,0,,Burlington Substation,,
95634462,-75.044663437,39.9658084078,sub_station,0,,Camden Substation,,
95260178,-75.2255719893,39.5719519095,station,0,,Upper Pittsgrove Substation,,
142178596,-75.5072486939,39.6830682953,sub_station,0,,Deepwater Substation,,
95264466,-75.0511192964,39.5339056738,station,0,,Landis Substation,,
95356435,-74.5293167455,39.4169345627,station,0,,Lewis Substation,,
29018523,-74.6369314252,39.2896200752,plant,0,,Beesleys Point Generating Station,,
95276758,-74.6205243049,39.4283378181,station,0,,Cardiff Substation,,
143514403,-74.0260138649,41.050073142,substation,138000,60,,Orange & Rockland,
95197289,-73.9680397806,41.0228887427,substation,138000,60,,Orange & Rockland,
95782053,-74.0164930363,40.8340716282,station,0,,,,
281165325,-74.0718331238,40.7473984438,generator,0,,PSE&G Hudson Generating Plant,,
42688046,-74.4614306275,40.4461503038,substation,230000;138000,,Brunswick Substation,,
95895876,-74.3957478504,40.4910648318,station,0,,Edison Substation,,
94810815,-74.2582116855,40.7919975955,substation,138000,,Marion Drive Substation,PJM,
94783939,-74.3307716843,40.8200463029,substation,230000;138000,,Roseland Substation,PJM,
95895397,-74.3903118235,40.6360525842,substation,138000,,Fanwood Substation,,
95264459,-75.0247792972,39.6765277329,sub_station,0,,Monroe Substation,PJM,
95745361,-74.7396464188,39.1916162088,station,0,,Corson Substation,,
95895398,-74.3492631557,40.5868218045,substation,0,,New Dover Substation,,
95201299,-74.1581809572,40.861617676,substation,0,,Athenia Substation,PSE&G,
412191877,-74.2214441646,40.8683733042,station,0,,,,
94761499,-74.4852915151,40.4055331937,substation,500000;230000,,Deans Substation,,
42092946,-74.7421820536,40.5443498039,substation,500000;230000,,Branchburg Substation,,
95939315,-74.3487596886,40.5304092635,substation,0,,Pierson Avenue Substation,,
95917629,-74.2154572062,40.4192040937,station,0,,NJT Aberdeen Substation,,
95805751,-74.2429135594,40.397620547,station,0,,Freneau Substation,,
326910475,-74.3884736378,40.7248120564,substation,230000,,Summit Substation,,
94808794,-74.3782624607,40.8194166262,sub_station,0,,East Hanover Substation,,
95917053,-74.4621708763,40.5608111131,substation,0,,Middlesex Substation,,
95305798,-75.1369370513,39.8590119174,sub_station,0,,Deptford Substation,,
95635620,-75.0981794045,39.8892444994,substation,0,,Gloucester Substation,,
95635618,-75.1371946919,39.8696954916,sub_station,0,,Eagle Point Substation,,
71071448,-75.3880328946,39.8293518072,sub_station,0,,,,
95795282,-74.9206090476,40.681600437,substation,0,,Glen Gardner Substation,,
95789156,-74.6992323004,40.7941883401,substation,0,,Chester Substation,,
42677847,-74.1918724215,40.1137850116,substation,500000,,Larrabee Substation,JCP&L,
95919454,-74.1672220865,40.061006177,station,0,,Lakewood Substation,,
95131944,-74.9627558169,39.7410004456,station,0,,New Freedom Substation,PJM,
42678015,-74.3605762574,40.2013629553,substation,0,,Smithburg Substation,,
95805366,-74.3535756589,40.4792218885,substation,0,,Sayreville Substation,,
95831787,-74.9295759041,40.3372401939,station,0,,Pleasant Valley Substation,,
102033582,-75.4052212396,39.7931490207,sub_station,0,,,,
102135174,-75.424301437,39.7676330091,sub_station,0,,Pedricktown Substation,,
40334135,-75.2492116382,39.8118567912,sub_station,0,,Mickleton Substation,,
418988645,-75.0800397067,40.9076802991,plant,0,,Portland Generating Station,,
95942920,-75.501526146,39.6746995051,sub_station,0,,Churchtown Substation,,
95919432,-74.2200135702,39.9524818921,station,0,,Manitous Substation,,
95919436,-74.2091790324,39.8137215975,station,0,,Oyster Creek Substation,,
95919437,-74.1858321819,40.0299969617,station,0,,Leisure Village Substation,,
94783955,-74.6153039731,40.5589805201,substation,230000,,,,
95656880,-75.1085761292,40.8003815805,substation,0,,Martins Creek Substation,,
95645152,-75.1657347423,40.706756218,sub_station,0,,,,
180628927,-75.0242620239,41.0785554746,station,0,,Bushkill Substation,PPL Electric Utilities,
180628955,-74.7403525914,41.055727123,station,0,,,,
262147746,-74.5644934883,40.5602235771,substation,230000,,,,
95894478,-74.2521514677,40.5607368112,substation,0,,Sewaren Substation,,
378250807,-74.209605579,40.6230410851,plant,0,,Linden Generating Station,PSEG,
71516164,-75.7309257719,39.6334106774,substation,500000;230000,,,,
95131356,-75.5338586763,39.4675092721,substation,500000,,Hope Creek Substation,PJM,
95131338,-75.5326205139,39.4634117842,substation,500000,,,,
41742985,-75.3100133658,40.1715442623,sub_station,0,,Whitpain Substation,,
95421743,-75.5830932442,40.4818756513,sub_station,0,,Alburtis Substation,,
86473260,-75.5314719942,39.4659951855,plant,0,,PSEG Salem and Hope Creek Nuclear Generating Stations,PSEG,
