n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
336216247,-81.5924270115,41.5567685961,substation,0,,Ninemile Substation,Cleveland Public Power,
277025756,-81.6092615017,41.4962969409,substation,0,,Baldwin Substation,Cleveland Public Power,
335531164,-81.5878001507,41.5570373085,substation,0,,Collinwood Substation,Cleveland Public Power,
82714115,-81.7847690112,41.4082295369,substation,0,,,,
87965397,-81.7559707829,41.4236963428,substation,345000;138000,,Fox Substation,,
86821374,-81.8343400775,41.3533191792,substation,138000,,Fowles Substation,ATSI,
90528772,-81.4132517262,40.76295205,substation,0,,Torrey Substation,AEP Ohio,
90686450,-81.4165134901,40.7213391424,substation,0,,South Canton 138kV Substation,,
90528784,-81.3561519458,40.7801322138,substation,0,,Canton Central Substation,AEP Ohio,
453622359,-82.1946374751,41.1481380688,substation,0,,Wellington Substation,Ohio Edison,
80445083,-82.2620037483,41.4277639012,substation,345000,,Beaver Substation,American Transmission Systems,
317313039,-81.6021294485,40.2586364991,substation,0,,Newcomerstown Substation,AEP Ohio,
332247210,-81.8525761165,40.2503090048,substation,0,,South Coshocton Substation,AEP Ohio,
332242483,-81.482818257,40.4843851342,substation,0,,West New Philadelphia Substation,AEP Ohio,
332231133,-81.5745405361,40.2819018124,substation,0,,Hillview Substation,AEP Ohio,
233575100,-81.0833983894,40.5869517914,substation,0,,Carrollton Substation,American Electric Power,
90522899,-81.3253204567,40.799073275,substation,0,,Wagenhals Substation,AEP Ohio,
286009402,-81.948089559,40.5614327292,substation,0,,West Millersburg Substation,Ohio Power,
286009400,-81.9493916194,40.5618048592,substation,0,,West Millersburg Substation,Ohio Power,
284168410,-81.4302354197,40.8888509095,sub_station,0,,Wayview Substation,AEP Ohio,
237166879,-81.4254111294,40.8401058353,sub_station,0,,West Canton Substation,AEP Ohio,
267606422,-81.5129461866,40.9879451961,substation,0,,Moore Substation,Ohio Edison,
283321003,-81.5022744763,40.8842916989,substation,0,,Dale Substation,FirstEnergy,
284168388,-81.4230947331,40.8656945349,sub_station,0,,Belden Village Substation,AEP Ohio,
239148127,-81.4263428569,40.8753845283,substation,0,,Promway Substation,Ohio Power,
284168419,-81.4343429619,40.9036239567,sub_station,0,,,AEP Ohio,
88017945,-82.0505491109,41.4393439877,station,0,,,,
103765534,-84.0875982361,40.7626040052,substation,0,,,,
103655227,-84.3093750561,40.8961932581,substation,138000,,,,
38418037,-84.0289566372,40.8009620995,substation,0,,East Lima Substation,AEP,
89387039,-84.0860667018,40.2885517073,station,0,,Shelby Substation,Dayton Power & Light,
179523700,-84.0649860122,40.2603427516,station,0,,,,
284367392,-81.4724353239,41.0525243246,sub_station,0,,,FirstEnergy,
94174196,-81.6313482275,41.1457615731,substation,0,,West Akron Substation,Ohio Edison,
287996478,-81.547791564,41.1489241382,substation,0,,Theiss Substation,City of Cuyahoga Falls,
176727205,-81.4742337879,41.3034570477,substation,0,,Chamberlin Substation,Ohio Edison,
90153416,-81.5189102647,41.0898433454,substation,0,,Aetna Substation,Ohio Edison,
284363542,-81.4738797224,41.0941423327,sub_station,0,,Evans Substation,FirstEnergy,
333443367,-81.3778759993,41.082849706,substation,0,,Old Forge Substation,Ohio Edison,
90178462,-81.4600575794,41.0591434098,substation,0,,East Akron Substation,FirstEnergy,
90429289,-81.304407551,41.1412386903,substation,0,,West Ravenna Substation,Ohio Edison,
104124457,-82.5068453952,39.964911744,substation,0,,West Hebron Substation,,
138307533,-82.6373396878,39.7002889047,station,0,,West Lancaster Substation,AEP,
104139670,-82.4705616638,40.0363008946,sub_station,0,,,,
27668010,-84.4372811508,39.2438958143,station,0,,,Duke Energy Ohio,
27667833,-84.4493679795,39.3275180575,station,0,,Port Union Substation,Duke Energy Ohio,
33168430,-82.5688605787,39.8876901504,station,0,,West Millersport Substation,,
33170755,-83.0113787241,40.1815817783,substation,765000;138000,,Corridor Substation,AEP,
164380424,-81.5314747611,41.0466796317,substation,0,,Firestone Substation,Ohio Edison,
283909392,-81.5322396582,41.0742396991,substation,0,,Urban Substation,Ohio Edison,
87818290,-81.624421392,41.3679909364,station,0,,,,
87792533,-81.6493673335,41.3660306099,substation,138000,,Imperial Substation,ATSI,
331069702,-81.4983567168,40.5419830108,substation,0,,North Intertie Substation,AEP Ohio,
289948425,-81.8828110586,41.1689974741,substation,0,,North Medina Substation,Ohio Edison,
288252250,-81.8790658919,41.140223076,substation,0,,West Medina Substation,Ohio Edison,
288252256,-81.8599558697,41.2374283085,substation,0,,Brunswick Substation,Ohio Edison,
86822239,-81.7369727631,41.1579787378,substation,0,,Granger Substation,Ohio Edison,
288252805,-81.7734468727,41.2262524839,substation,0,,Stoney Substation,Ohio Edison,
192761817,-81.9413603553,40.7781182633,substation,0,,Wooster Substation,AEP Ohio,
28041786,-84.0015553087,39.7086325188,station,0,,Greene Substation,Dayton,
75563698,-84.0487438659,39.779269807,station,0,,,,
87783485,-81.6827645384,41.4653579777,station,0,,,,
87783488,-81.6855667501,41.4660086161,substation,0,,,,
287996043,-81.5174060407,41.1422808566,substation,0,,,,
94197483,-81.5271018738,41.1157063886,substation,0,,Babb Substation,FirstEnergy,
87748581,-81.6599384869,41.431712984,station,0,,,,
87783518,-81.6845715072,41.4685514788,substation,138000,,,,
336612635,-81.685977387,41.4915963704,substation,0,,,FirstEnergy,
335521121,-81.4551042593,41.3951036916,substation,0,,Lester Substation,FirstEnergy,
87918569,-81.5241964488,41.3623520846,station,0,,,,
164414027,-81.5390862995,40.5948321682,substation,0,,Strasburg Substation,AEP Ohio,
332955468,-81.7781732683,40.0337950516,substation,0,,Bethel Church Substation,Guernsey-Muskingum Electric Cooperative,
332953306,-81.8540448086,39.9689020249,substation,0,,Bridgeville Substation,AEP Ohio,
332953304,-81.8738505593,39.8895017397,substation,0,,Chandlersville Substation,Guernsey-Muskingum Electric Cooperative,
164414010,-81.5631163346,40.5082677466,substation,0,,West Dover Substation,AEP Ohio,
287991890,-81.8856508325,41.0253026274,substation,0,,Seville Substation,Ohio Edison,
287991901,-81.865941391,41.1199395171,substation,0,,Ryan Substation,Ohio Edison,
86822197,-81.6974756032,41.0110605819,substation,345000;138000,,Star Substation,ATSI,
38009940,-82.7679252078,39.9762850831,station,0,,Taylor Substation,,
104146297,-82.6481498198,39.991248431,station,0,,Kirk Substation,,
87989333,-81.8259522676,41.4118031407,substation,0,,,,
333139546,-81.0364201758,40.8076502927,substation,0,,Knox Substation,FirstEnergy,
333438890,-80.9242478708,40.7301341584,substation,0,,Hagan Substation,,
98820544,-80.6059682769,40.4849466878,station,0,,,,
441537687,-81.7135186903,41.0125043832,substation,0,,,,
94232300,-81.5160953864,41.0281187476,substation,0,,South Akron Substation,FirstEnergy,
96190400,-81.5990699001,41.047638958,substation,0,,TUSC Substation,FirstEnergy,
59450467,-81.3294077996,40.7732218567,substation,0,,South East Canton Substation,AEP Ohio,
294293607,-81.0774880849,40.9198892331,substation,0,,Bluebell Substation,FirstEnergy,
192761820,-81.8444802507,40.7446494516,substation,0,,Apple Creek Substation,AEP Ohio,
96847461,-83.6050960762,41.6770503966,substation,138000,,,,
250013868,-83.5960367199,41.6808779513,substation,138000,,,,
89939563,-80.8063765334,40.0222996515,station,0,,West Bellaire Substation,,
89824637,-80.722640269,40.0382961814,station,0,,,,
107940712,-83.0012624833,39.1301276122,station,0,,Waverly Substation,AEP,
28398376,-82.6092844983,39.0437954592,station,0,,Lick Substation,AEP,
421339304,-80.6527633998,40.247135448,plant,0,,Cardinal Plant,AEP,
90526175,-81.3362212389,40.8013333694,substation,0,,Republic Steel Substation,AEP Ohio,
36924532,-83.9784799898,39.7666802842,station,0,,,,
36925322,-84.1697745075,39.9417562469,station,0,,Miami Substation,,
103695011,-84.1296297475,40.7214751563,substation,138000,,West Lima Substation,,
38418161,-84.1075329736,40.701162128,substation,138000,,Sterling Substation,,
332358777,-82.0270465133,40.0941569666,substation,0,,Dresden Substation,AEP Ohio,
180022425,-82.018514547,40.0969355631,substation,0,,Ohio Central Substation,AEP Ohio,
96837243,-83.6936912046,41.5665007349,substation,138000,,,,
97158706,-83.6637223961,41.6256813984,substation,138000,,Angola Substation,,
452474843,-83.7209074159,41.6164839767,substation,138000,,Wentworth Substation,Toledo Edison,
96838789,-83.6100522635,41.6533756293,station,0,,,,
96837239,-83.6691807324,41.5940316381,substation,138000,,,,
83669631,-84.3321781669,39.9372283092,station,0,,West Milton Substation,Dayton Power & Light,
27668096,-84.3865363453,39.3063831669,sub_station,0,,,,
295040235,-80.6558646763,41.0330202711,substation,0,,Boardman Substation,Ohio Edison,
96838791,-83.676204755,41.6773608958,substation,138000,,Reynolds Substation,Toledo Edison,
96838202,-83.7041097529,41.7144792765,substation,138000,,Sylvania Substation,Toledo Edison,
91375242,-83.451394672,41.4747888169,substation,345000;138000,,Lemoyne Substation,Toledo Edison,
38422812,-83.918494707,41.4752464368,substation,345000;138000;69000,,Midway Substation,,
91351805,-83.434691661,41.1514486776,substation,138000,,Fostoria Substation,,
91558106,-83.4350494872,41.6908594799,substation,345000;138000,,Bay Shore Substation,,
98820546,-80.6250717021,40.5780569767,station,0,,Arroyo Substation,,
98820540,-80.6301258301,40.6097062618,station,0,,,,
98845032,-80.5246017334,40.6392850792,sub_station,0,,East Liverpool Substation,AEP Ohio,
336602768,-81.608699613,41.4985075067,substation,0,,University Circle Substation,FirstEnergy,
91490559,-81.572923183,41.5418215742,substation,138000,,,,
88385976,-81.6260829163,41.478387682,substation,345000;138000,,,,
170993689,-82.9907436205,39.8592127896,station,0,,,,
103883164,-82.9716188062,39.9223443588,substation,0,,Marion Substation,AEP,
332249377,-81.8991910984,40.3037217408,substation,0,,West Coshocton Substation,AEP Ohio,
180346026,-82.2734714839,41.4234609738,station,0,,,,
333934857,-81.7658526932,40.8501107269,substation,0,,Ampor Substation,American Municipal Power,
144303867,-81.8978727781,40.8277210759,substation,0,,East Wooster Substation,AEP Ohio,
333486749,-81.0918200339,40.9193999255,substation,0,,Alliance Castings Substation,FirstEnergy,
38416145,-84.1831677672,40.677683552,substation,345000;138000,,Southwest Lima Substation,AEP,
335530672,-81.537474983,41.5734747188,substation,0,,Nottingham Substation,FirstEnergy,
335530676,-81.5371805919,41.5737404414,substation,0,,Nottingham Substation,Cleveland Public Power,
351988583,-83.5047170213,41.5958371791,substation,0,,,,
96837185,-83.4946730378,41.5949900793,substation,138000,,Maclean Substation,,
452534099,-83.5459662619,41.556594375,substation,138000,,DaimlerChrysler Substation,Toledo Edison,
170508468,-82.9877424423,39.9204168725,station,0,,,,
90070405,-80.6605617584,40.2065301659,station,0,,,,
91285702,-81.3296792709,41.5228249537,station,0,,Nelson Substation,ATSI,
91433690,-81.1419695062,41.6877390923,substation,0,,Leroy Center Substation,,
91490507,-81.4775730275,41.6130292051,substation,0,,,,
86821063,-81.7302472464,41.3046886689,substation,0,,,FirstEnergy,
393543026,-81.8103134387,41.3071021144,substation,0,,,FirstEnergy,
352178894,-83.0983466416,41.4967998876,substation,0,,,,
228195121,-83.1631361851,41.377153668,substation,138000,,,,
90238160,-81.2269876886,41.1196523146,substation,0,,Hanna Substation,Ohio Edison,
87973018,-81.7481959293,41.4548973163,substation,138000,,Clinton Substation,ATSI,
91592547,-81.0500549393,41.7166367123,sub_station,0,,Spruce Substation,FirstEnergy,
285628709,-81.629723607,41.2433418269,substation,0,,Brush Substation,Ohio Edison,
309844366,-81.6366659723,40.5049206623,substation,0,,Sugarcreek Substation,AEP Ohio,
333148263,-80.847016888,40.8780901222,substation,0,,Pidgeon Substation,FirstEnergy,
98820545,-80.6330792085,40.5325999132,plant,0,,Sammis Power Plant,,
336704232,-81.6265075776,41.1778535823,substation,0,,Bath Substation,Ohio Edison,
284547914,-81.4035840696,40.993073386,substation,0,,Lakemore Substation,FirstEnergy,
170524398,-83.0928686693,40.1385768771,sub_station,0,,,,
86355285,-83.0921242263,40.2111783363,station,0,,Hyatt Substation,AEP,
90341615,-80.8243814594,41.1775853448,station,0,,Highland Substation,American Transmission Systems,
168698727,-80.7140794882,41.1345518688,substation,0,,,,
103650654,-84.0810065765,40.743192274,station,0,,East Side Lima Substation,,
138462454,-82.6359025444,41.3363068937,substation,138000,,Avery Substation,Ohio Edison,
138462458,-82.4949900121,41.3373871987,substation,138000,,,ATSI,
90776897,-82.2918443143,40.871843603,station,0,,,,
90719050,-81.89714427,40.8359469028,substation,0,,,AEP Ohio,
192761821,-81.8918076495,40.8094263215,substation,0,,Canal Road Substation,AEP Ohio,
91351804,-83.4608353591,41.1390818719,substation,345000;138000,,Fostoria Central Substation,,
90776277,-83.7791184464,41.7221065267,substation,345000;138000,,Allen Junction Substation,ATSI,
38457634,-83.5152378315,41.7155400667,substation,138000,,Dixie Substation,Toledo Edison,
96194816,-81.6158275315,41.0173326189,substation,0,,Barberton Substation,Ohio Edison,
228195116,-83.1509253525,41.3675258566,substation,138000,,,,
228185402,-83.1376334015,41.3239137878,substation,138000,,,,
90522892,-81.337705151,40.7430049914,station,0,,Faircrest Substation,,
90686458,-81.4163379122,40.7199105971,substation,0,,South Canton 345kV Substation,AEP Ohio,
452474841,-84.429530018,41.502357683,substation,138000,,Stryker Substation,,
91562782,-83.3329804748,41.6372331205,substation,138000,,Decant Substation,Toledo Edison,
101978093,-82.9147997936,41.5137035605,substation,138000,,Lakeview Substation,Ohio Edison,
33264424,-84.3763501519,39.4550068147,station,0,,Todhunter Substation,Duke Energy Ohio,
98411479,-84.2930089539,39.4394651171,sub_station,0,,,,
336603192,-81.5695990312,41.4399787501,substation,0,,,Cleveland Public Power,
336603124,-81.6238386288,41.4533020201,substation,0,,,Cleveland Public Power,
333675143,-81.9278487607,40.5122350464,substation,0,,South Millersburg Substation,AEP Ohio,
286009405,-81.9071139779,40.5000003626,substation,0,,Buckhorn Substation,Holmes-Wayne Electric Cooperative,
93074220,-81.6222369673,41.4761066333,substation,138000,,,,
172282672,-82.9153146778,39.9471699846,station,0,,,,
171423541,-82.9125676612,39.9815646947,station,0,,,,
86822199,-81.6992827391,41.012329268,substation,69000;138000,,Star Substation,Ohio Edison,
103784790,-84.5931085635,41.0162272376,substation,0,,Haviland Substation,,
88043324,-82.0512914931,41.503459901,station,0,,,,
91592557,-80.8205781744,41.8225839243,station,0,,,,
28396953,-84.2907753262,38.9904231411,station,0,,Pierce Substation,Duke Energy Ohio,
28358576,-84.2965553116,38.9906630168,generator,0,,Walter C. Beckjord Generating Station,Duke Energy Ohio,
30145435,-84.0607902325,39.7251988071,station,0,,Knollwood Substation,Dayton,
30145499,-84.1384875193,39.7509148726,station,0,,Overlook Substation,Dayton,
91454879,-81.4399955267,41.6721569535,substation,0,,Eastlake Station,,
91454883,-81.4083111339,41.6512508122,station,0,,,,
333438896,-80.9218080029,40.7351035758,substation,0,,UTICA Substation,FirstEnergy,
207910565,-81.6260394583,41.4805822208,substation,0,,,,
25037288,-84.2721195909,39.3368843837,substation,0,,,,
27927002,-84.249442379,39.3060238962,station,0,,Foster Substation,Duke Energy Ohio,
104161777,-82.8395626509,39.9788282175,station,0,,East Broad Street Substation,,
104161783,-82.8313462315,39.9883767358,station,0,,Lucent Substation,,
61818240,-80.3844147023,41.9343694733,sub_station,0,,Erie West Substation,,
91416744,-80.7682415356,41.9067366691,station,0,,,,
86818458,-81.571451637,41.3611441639,substation,345000;138000,,Juniper Substation,ATSI,
88043334,-82.0543170086,41.5019299696,station,0,,,,
36923781,-83.854755615,39.3976739451,sub_station,0,,,,
129145920,-83.6775178768,38.6356371569,plant,0,,J. M. Stuart Station,Dayton Power & Light- Duke Energy Ohio- American Electric Power,
86579709,-84.0952023365,39.6004505864,station,0,,,,
460067223,-82.7479969325,40.09592647,substation,345000,,,,
162356366,-80.4480916999,41.1353465927,sub_station,0,,Shenango Substation,American Transmission Systems,
28534034,-84.8072102568,39.1126048273,sub_station,0,,,Duke Energy Ohio,
28534040,-84.8037548086,39.1147832223,plant,0,,Miami Fort Station,Duke Energy Ohio,
91377299,-81.147443087,41.7995813578,substation,0,,Perry Substation,,
403401427,-81.1423557277,41.8017303385,plant,0,,Perry Nuclear Power Plant,First Energy Nuclear Operating Corporation,
28042414,-83.6925103506,38.639301928,substation,0,,,,
129145081,-84.2281571285,38.8693474673,plant,0,,W. H. Zimmer Generating Station,Duke Energy Ohio- Dayton Power & Light- American Electric Power,
180015255,-82.7996645183,40.6942291377,substation,0,,Galion Substation,Ohio Edison,
180015256,-83.2991936208,41.0208610688,station,0,,South Berwick,,
36915104,-83.0038818497,39.0160761444,station,0,,,,
409014439,-82.2655009885,41.4298820733,substation,0,,,,
