n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
183820294,-124.396571705,43.1066763646,station,0,,,,
181388954,-124.075645036,43.2130444165,station,0,,,,
55262606,-123.034289828,46.1079150394,station,0,,Alston Substation,,
181554535,-123.073716893,46.0950445364,station,0,,,,
161729440,-121.052776416,44.1442252896,substation,0,,,,
182271292,-119.124041465,43.5096850531,station,0,,,,
102537762,-123.088854123,44.9315324078,station,0,,,,
32333686,-122.998904139,45.0146069709,station,0,,Chemawa Substation,Bonneville Power Administration,
177066210,-119.086504835,43.5498912412,substation,0,,,,
181554551,-123.75730113,46.17474959,station,0,,,,
93416192,-123.016257458,43.9969859848,station,0,,Alvey Substation,,
88615577,-123.043715069,44.095711035,substation,0,,,,
101458605,-123.238204417,43.2061660426,station,0,,Dixonville Substation,PacifiCorp,
99002047,-123.231807265,44.0508588329,station,0,,Lane Substation,,
54717885,-122.674442416,44.7724685284,station,0,,Santiam Substation,,
93174018,-122.558987842,45.3385678565,substation,0,,McLoughlin Substation,,
54674660,-122.777214262,45.3291372315,substation,0,,Pearl Substation,,
99446830,-122.949423924,44.9302789673,station,0,,Bethel Substation,Portland General Electric,
168640490,-117.775422172,44.7174634283,sub_station,0,,Quartz Substation,Idaho Power,
101108285,-117.863618712,45.0670129102,sub_station,0,,,,
181510022,-123.047896793,44.2477114981,station,0,,,,
128370036,-123.009719555,44.3882036248,sub_station,0,,,,
51777289,-122.844033472,45.5074364075,substation,0,,Saint Marys Substation,,
51756731,-122.895282604,45.5497828641,substation,0,,Keeler Substation,,
95813050,-122.889141141,46.0396653122,station,0,,Decommisioned Trojan Substation,,
51757617,-122.767670863,45.614324698,substation,0,,,,
51541608,-122.830912418,45.4380102566,substation,0,,MurrayHill Substation,Portland General Electric,
181388952,-123.278143886,42.4470741078,station,0,,Grants Pass Substation,PacifiCorp,
101278685,-122.754326987,42.3639220096,station,0,,Meridian Substation,,
181388972,-123.410057907,42.7471114857,station,0,,,,
181548172,-122.822297435,42.346462668,substation,0,,,,
181548182,-122.361405009,41.9768524349,station,0,,,,
181554549,-123.840673191,46.1423333424,station,0,,,,
181554503,-123.414216552,46.148975195,station,0,,,,
102151065,-120.735761167,45.6757950354,substation,230000,,John Day Substation,Bonneville Power Administration,
102151068,-120.611628488,45.6488019892,station,0,,,,
99624752,-120.601805561,45.5846984724,sub_station,0,,,,
101121560,-116.858762206,44.9858758488,substation,0,,,,
101121557,-116.850175509,44.9704208302,substation,0,,Oxbow Substation,Idaho Power,
181548170,-122.071609204,42.0937684556,substation,0,,,,
88982424,-121.233390058,44.0572231307,substation,0,,,,
88982442,-121.210583306,44.2701329951,sub_station,0,,Redmond Substation,Bonneville Power Administration,
94053280,-120.932648126,44.2256000651,sub_station,0,,,,
167542899,-121.45424714,43.6610960749,substation,0,,La Pine Substation,Bonneville Power Administration,
183820297,-124.407332638,42.4836090205,station,0,,,,
181388971,-123.564828408,43.1776984849,station,0,,,,
56027291,-119.313328813,45.9240155627,substation,0,,McNary Substation,Bonneville Power Administration,
169137767,-118.846125016,46.0638144179,sub_station,0,,Wallula Substation,PacifiCorp,
103095379,-118.746850385,45.6380317422,station,0,,Roundup Substation,,
422872606,-119.297612945,45.9339283947,plant,0,,McNary Powerhouse,,
323391204,-119.370292628,45.8038506713,generator,0,,Hermiston Generating Project,,
56323697,-119.634478521,45.9337780473,sub_station,0,,,,
54051870,-122.403872654,45.5588710988,substation,0,,Troutdale Substation,,
181510021,-122.946888217,44.7697233777,station,0,,,,
177075524,-123.0364642,44.5896605698,sub_station,0,,Fry Substation,PacifiCorp,
99450146,-123.127149881,44.6212511584,station,0,,,,
103121717,-118.071717391,45.3122946,station,0,,La Grande Substation,,
55975082,-121.115759427,45.6063697328,substation,115000,,Big Eddy Substation,,Yes
422872608,-121.124233977,45.6174484092,plant,0,,The Dalles Powerhouse,,
56392639,-121.035658991,45.1937734826,station,0,,Maupin Substation,,
101458606,-123.225035988,43.2181507688,station,0,,Dixonville Substation (500kV),PacifiCorp,
99446842,-121.268270282,44.6015928771,station,0,,Round Butte Substation,Portland General Electric,
99449566,-123.923144181,44.621225901,station,0,,Toledo Substation,,
100586555,-124.010772993,44.007467209,station,0,,Wendson Substation,,
101289578,-123.173398483,46.1782014677,station,0,,,,
181544636,-121.841621001,42.5861950631,substation,0,,,,
168003305,-121.78388077,42.1985956227,substation,0,,Klamath Falls Substation,PacifiCorp,
181388953,-123.410285006,42.9311775958,station,0,,Nickel Mountain Substation,,
181388978,-123.264650501,42.9161214701,sub_station,0,,,,
181554505,-123.410929178,46.1546807242,station,0,,,,
169137879,-118.808280054,46.0373990429,sub_station,0,,,,
