n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
138754566,-98.2589863722,44.3754792339,substation,0,,,,
341050384,-98.5017760176,44.8967483811,substation,0,,,,
138298565,-98.3413829474,44.4707185282,substation,0,,Huron Substation,Western Area Power Administration,
224738198,-98.0462023649,43.7158701188,substation,0,,,,
128001548,-98.3007974423,45.5173771729,station,0,,Groton Substation,WAPA,
127945786,-98.7001386657,46.3565285657,station,0,,Edgeley Substation,WAPA,
242777613,-96.7892729402,44.3283025159,substation,0,,,,
242778335,-96.7834076272,44.3264409828,substation,0,,,,
242678766,-96.7833216974,44.3283055224,substation,0,,,,
242774525,-96.7871000284,44.3624397029,substation,0,,,,
241216016,-96.2860002501,44.1099310498,substation,0,,,,
89279556,-96.6369311292,44.0517982098,substation,0,,,,
172998161,-98.3327128835,44.066416876,substation,0,,,,
86896203,-98.3297452558,43.9027903134,substation,0,,,,
326398483,-100.380890166,44.3677621833,substation,0,,,,
326398489,-100.408878095,44.3707332271,substation,0,,,,
326398486,-100.312469478,44.3888233968,substation,0,,,,
326398496,-100.331910101,44.3723057287,substation,0,,,,
40155445,-100.390419133,44.4491840479,substation,0,,Oahe Substation,,
341812759,-97.6745488624,45.3729442843,substation,0,,,,
39548919,-97.0541130571,45.325362612,substation,0,,Summit Substation,WAPA,
87075550,-98.1031334667,45.3719502306,substation,0,,,,
9908477,-101.134673711,44.0823769919,substation,0,,,,
138344989,-97.4800100833,43.2932153377,substation,0,,,,
138362040,-97.5787347085,43.055197817,substation,0,,Utica Junction Substation,,
326398495,-100.34600254,44.3821450001,substation,0,,,,
305215181,-100.362627513,44.379001584,substation,0,,,,
138249765,-96.5084343901,45.3019727645,substation,0,,,,
351778922,-96.4494649759,45.3032143468,substation,0,,,,
321982504,-97.4799401887,42.8481260574,substation,0,,,,
172746092,-97.477398219,42.9042132466,substation,0,,,,
141361478,-97.3985139393,42.9036788045,substation,0,,,,
138456622,-98.3266854064,43.2571187284,substation,0,,,,
331147136,-98.3248860608,43.6874803921,substation,0,,,,
34110595,-98.5546966389,43.062958244,substation,0,,Fort Randall Substation,,
214485556,-102.242034886,42.7877145255,substation,0,,,,
324049178,-102.335839281,43.0473940394,substation,0,,,,
242683959,-96.7878326897,44.2805658066,substation,0,,,,
242779786,-96.794753103,44.3055961876,substation,0,,,,
242678776,-96.7490598827,44.3185921201,substation,0,,,,
254294592,-103.187838586,44.0814770973,substation,0,,,,
9906807,-103.087921758,44.1553148713,substation,0,,,,
253924540,-103.094222493,44.0972036724,substation,0,,,,
9906380,-103.194423984,44.2282298295,substation,0,,,,
86068025,-96.6489792399,43.5991571897,substation,0,,,,
11775323,-96.6571419146,44.2960100167,substation,0,,,,
384180425,-96.611619433,44.0441377541,substation,0,,,,
335812681,-96.7867975365,43.0889774411,substation,0,,,,
335812682,-96.7955282773,43.1196779925,substation,0,,,,
9848985,-96.8858970882,42.9021859603,substation,0,,,,
9846871,-98.5343728652,43.0716651922,substation,0,,,,
9847040,-97.8904017296,43.0034814906,substation,0,,,,
324345437,-101.375986313,43.2280786872,substation,0,,,,
324049172,-101.705748966,43.2276414175,substation,0,,,,
324345439,-101.376097737,43.2220933374,substation,0,,,,
324345438,-100.653656046,43.3254622863,substation,0,,,,
324885601,-100.898848092,43.1281494793,substation,0,,,,
325084516,-99.8478024172,43.3579557767,substation,0,,,,
14043777,-100.515260687,42.9539458439,substation,0,,,,
327160423,-101.281625525,44.989920839,substation,0,,,,
9861863,-102.043222737,45.001716306,substation,0,,,,
87075435,-98.1021668643,45.3740893414,substation,0,,Groton Substation,WAPA,
138279028,-97.9486527453,45.2977112108,substation,0,,,,
244365431,-97.1667974849,44.8919174567,substation,0,,,,
342854324,-97.1078911291,44.9015481971,substation,0,,,,
243732313,-97.1266083738,44.8890026659,substation,0,,,,
325495728,-98.9440028799,43.0537980498,substation,0,,,,
389398664,-97.2087271439,44.3979188811,substation,0,,,,
389398665,-96.8963281129,44.4374334896,substation,0,,,,
170005795,-96.6618524858,44.5736568631,substation,0,,,,
325315214,-99.295895366,43.1874570669,substation,0,,,,
325315215,-99.4317276152,43.2128479995,substation,0,,,,
332340521,-96.9920651176,42.8976114132,substation,0,,,,
307736731,-102.999176288,42.8475967661,substation,0,,,,
172879295,-103.213815684,42.9972808366,substation,0,,Wayside Substation,,
138176506,-98.4938432038,45.4296408486,substation,0,,Aberdeen Substation,,
243731263,-97.0918394948,44.8922173137,substation,0,,,,
331593332,-97.9693046755,43.1397411904,substation,0,,,,
336123834,-97.2674521009,43.5500080539,substation,0,,,,
245734224,-98.0140447749,43.7031754064,substation,0,,,,
172844533,-102.826878118,44.0719386348,substation,0,,New Underwood Substation,,
9919316,-98.3284263817,44.907579831,substation,0,,,,
328483566,-103.249370609,44.5895105801,substation,0,,,,
9906969,-103.230645329,44.2283910351,substation,0,,,,
249490166,-98.4434021778,45.4696195564,substation,0,,,,
138263849,-98.0988967394,45.3729651155,generator,0,,,,
138263852,-98.0986206122,45.3737404901,generator,0,,,,
172888028,-102.592162969,45.0076688438,substation,0,,Maurine Substation,,
332340512,-96.99110464,42.8976942814,substation,0,,,,
305215344,-96.9344258376,42.7901440071,plant,0,,,,
172844534,-101.686392399,44.0832582485,substation,0,,Philip Substation,,
9906968,-102.227448099,44.0827907458,substation,0,,,,
