l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,219122432,158794210,161000,,line,,-161kV transmission line,TVA,81332.0,,,,,
2,219122432,98055843,161000,,line,,,TVA,15115.0,,,,,
3,204234767,107040337,161000,3,line,,161kV transmission line-Johnsonville to Dickson 161kV transmission line,TVA,93709.0,,,,,
4,188924126,188908066,161000,,line,,161kV transmission line-Apalachia - East Cleveland #1 161kV transmission line,TVA,53958.0,,,,,
5,263936017,98038320,161000,,line,,161kV Transmission Line,,45439.0,,,,,
6,205931538,206252859,161000,,line,,161kV transmission line,TVA,42760.0,,,,,
7,205931538,191960451,161000,8,line,,161kV transmission line-,TVA,34635.0,,,,,Yes
8,158980783,188811954,161000,,line,,-161kV transmission line,TVA,28850.0,,,,,
9,158980783,158980802,161000,,line,,,,18059.0,,,,,
10,158980783,164229071,161000,,line,,-161kV transmission line,TVA,18092.0,,,,,
11,192968222,27798703,161000,,line,,,,11606.0,,,,,
12,189483046,401548505,161000,,line,,161kV transmission line,TVA,44268.0,,,,,
13,189483046,107327530,161000,,line,,161kV transmission line,TVA,91968.0,,,,,
14,106991146,106991148,161000,,line,,161kV transmission line,TVA,9209.0,,,,,
15,106991147,106991607,161000,,line,,161kV transmission line,TVA,24325.0,,,,,
16,106991147,106991148,161000,,line,,161kV transmission line,TVA,5162.0,,,,,
17,106991147,107327530,161000,,line,,,,17731.0,,,,,
18,106991147,107233021,161000,,line,,-161kV transmission line,TVA,3900.0,,,,,
19,98839598,98068261,161000,,line,,161kV Transmission Line-161kV transmission line,TVA,61031.0,,,,,
20,107158063,106941083,161000,,line,,161kV transmission line-Davidson - Centerville 161kV transmission line,TVA,63882.0,,,,,
21,98038320,97859576,161000,,line,,Shelby - Covington 161kV Transmission Line,,22950.0,,,,,
22,206162994,164024535,161000,,line,,161kV transmission line,TVA,19472.0,,,,,
23,206162994,164024548,161000,,line,,161kV transmission line,TVA,27959.0,,,,,
24,206162994,189539995,161000,,line,,161kV transmission line,TVA,54107.0,,,,,
25,206162994,164024536,161000,,line,,161kV transmission line,TVA,24459.0,,,,,
26,192442419,191960451,161000,,line,,,TVA,3512.0,,,,,
27,107395125,164024536,161000,,line,,161kV transmission line,TVA,43535.0,,,,,
28,107395125,164138693,161000,,line,,161kV transmission line-,TVA,26020.0,,,,,
29,107395125,164138694,161000,,line,,161kV transmission line-,TVA,52122.0,,,,,
30,107395125,27798703,161000,,line,,161kV transmission line,TVA,61470.0,,,,,
31,107395125,164138736,161000,,line,,,,5851.0,,,,,
32,189583417,158794210,161000,6,line,,161kV transmission line-,TVA,28437.0,,,,,Yes
33,189583417,205822926,161000,3,line,,161kV transmission line,TVA,28680.0,,,,,
34,189583417,422884275,161000,,line,,161kV transmission line,TVA,83672.0,,,,,
35,189217852,108718796,161000,,line,,161kV transmission line,TVA,30709.0,,,,,
36,189217852,213367065,161000,,line,,161kV transmission line,TVA,11950.0,,,,,
37,97807934,206501724,161000,,line,,,MLGW,12643.0,,,,,
38,97807934,97817792,161000,,line,,,MLGW,19943.0,,,,,
39,107539519,107526554,161000,,line,,161kV transmission line,TVA,7234.0,,,,,
40,107539519,107551165,161000,,line,,161kV transmission line,TVA,12697.0,,,,,
41,197887558,204632827,161000,,line,,161kV transmission line,TVA,48173.0,,,,,
42,206252859,189539995,161000,,line,,161kV transmission line,TVA,12688.0,,,,,
