n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
288142977,-72.4419086558,43.1325821887,substation,0,,,,
141116805,-72.1672873366,42.8299107607,substation,115000,,Monadnock Substation,,
152163210,-73.1116074162,44.4402467083,substation,0,,Williston Substation,,
189843546,-73.1128783832,44.4810942354,substation,0,,Essex Substation,,
190020516,-73.0955782789,44.4793147894,sub_station,0,,IBM Substation,Vermont Transco,
139286064,-73.3574131985,42.9121005835,substation,115000,,Hoosick Substation,,
139271279,-73.1721768853,42.8820564809,substation,115000;69000,60,Bennington Substation,,
140644695,-73.2331093467,43.5761683817,substation,0,,Blissville Substation,,
140644696,-73.38021938,43.5502744773,substation,115000,,Whitehall Substation,,
189843547,-73.2059618708,44.6091457145,sub_station,0,,Sand Bar Substation,Vermont Transco,
190012534,-73.1538343605,44.7140929728,sub_station,0,,Georgia Switching Station,Vermont Transco,
