l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,82497025,149697935,115000,3,line,60,,,31324.0,,,,,
2,82497025,82456877,115000,3,line,60,-115kV Transmission Line,,57322.0,,,,,
3,82497025,82949939,115000,3,line,60,,,41304.0,,,,,
4,312359425,81926763,115000,,line,,Hickory - Yadkin 115kV transmission line,,11347.0,,,,,
5,81528843,155476209,115000,,line,,,,8462.0,,,,,
6,81528843,80921422,115000,,line,,,,4048.0,,,,,
7,149952016,81094242,115000,,line,,,,57282.0,,,,,
8,104047634,149314941,115000,6,line,60,115kV transmission line,,4206.0,,,,,Yes
9,104047634,45776762,500000,6,line,60,-500kV transmission line-115kV transmission line,,25444.0,,,,,Yes
10,104047634,45860799,115000,,line,,115kV transmission line,,23087.0,,,,,
11,96368731,81597861,115000,,line,,,,14274.0,,,,,
12,107971621,45836738,115000,,line,,115kV transmission line,Dominion Virginia Power,6606.0,,,,,
13,82226228,82221556,115000,,line,,Lakeside - ACCA 115kV transmission line,,5200.0,,,,,
14,82226228,107789385,115000,,line,,ACCA - Carver 115kV transmission line,,3933.0,,,,,
15,82226228,82222805,115000,,line,,115kV transmission line,,10523.0,,,,,
16,80884291,80783327,115000,,line,,115kV transmission line,Dominion,11391.0,,,,,
17,82488919,97201559,115000,,line,,-115kV transmission line,,59672.0,,,,,
18,97251419,97251418,230000,6,line,60,,,1669.0,,,,,Yes
19,82458243,155612408,115000,6,line,,115kV transmission line,,33929.0,,,,,Yes
20,81940112,80878311,115000,,line,,Yadkin - Deep Creek 115kV transmission line,Dominion,5534.0,,,,,
21,107780759,107793677,115000,,line,,115kV transmission line,Dominion,4608.0,,,,,
22,82715314,149310416,115000,,line,,,,14575.0,,,,,
23,149931754,82456877,115000,,line,,,,7844.0,,,,,
24,155476240,155476209,115000,,line,,,,9525.0,,,,,
25,155476240,155476221,115000,,line,,,,13328.0,,,,,
26,149937391,149937395,115000,,line,,,,9790.0,,,,,
27,149937391,149937402,115000,,line,,,,34656.0,,,,,
28,155476221,155476228,115000,,line,,,,28703.0,,,,,
