l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,256864619,167146834,115000,3,line,60,,,66721.0,,,,,
2,171556881,167031023,115000,3,line,60,,,53723.0,,,,,
3,182236677,15680784,115000,3,line,,,,2041.0,,,,,
4,182236677,285934329,115000,3,line,,,,2569.0,,,,,
5,158100239,158100248,115000,3,line,,,,7128.0,,,,,
6,158100239,158100581,115000,3,line,,,,3837.0,,,,,
7,158100239,15680784,115000,3,line,,,,63876.0,,,,,
8,167144216,167144157,115000,3,line,60,,,102.0,,,,,
9,170847131,167144157,115000,3,line,,,,46155.0,,,,,
10,255841955,239212998,115000,3,line,60,,,17578.0,,,,,
11,255841955,255841960,115000,3,line,60,,,62115.0,,,,,
12,289118631,15764429,115000,3,line,60,,,21582.0,,,,,
13,255841960,167146834,115000,3,line,60,,,73464.0,,,,,
14,157578156,102222586,115000,3,line,,,,10558.0,,,,,
15,256919981,239212998,115000,3,line,60,,,36874.0,,,,,
16,15690418,170999403,115000,3,line,,,,77528.0,,,,,
17,286637111,287721445,115000,3,line,60,,,50514.0,,,,,
18,289118630,167031023,115000,3,line,60,,,39308.0,,,,,
19,158028363,158099917,115000,3,line,,,,14053.0,,,,,
20,158028363,102222586,115000,3,line,,,,18296.0,,,,,
21,158099917,158100581,115000,3,line,,,,7289.0,,,,,
22,167146833,167146834,115000,3,line,60,,,223.0,,,,,
23,167146834,170531571,115000,3,line,60,,,26650.0,,,,,
24,167144157,15749751,115000,3,line,60,,,72659.0,,,,,
25,167144166,167031023,115000,3,line,60,,,94712.0,,,,,Yes
26,192244562,102222586,115000,3,line,,,,46763.0,,,,,
27,15749751,279809613,115000,3,line,60,,,82466.0,,,,,
28,170686978,170686986,230000,3,line,60,,,4509.0,,,,,
29,170686978,170763978,230000,3,line,60,,,60640.0,,,,,
30,170686978,103493303,230000,3,line,,,,20933.0,,,,,
31,170065283,167015118,230000,3,line,60,,,72452.0,,,,,
32,170065283,162623381,230000,3,line,60,,,49151.0,,,,,
33,170065283,170300713,230000,3,line,60,,,69973.0,,,,,
34,170065283,162477740,230000,3,line,60,,,8286.0,,,,,
35,170182788,122792698,230000,3,line,60,,,5894.0,,,,,
36,170182788,167144166,230000,3,line,60,,,31184.0,,,,,
37,170182788,167146833,230000,3,line,60,,,72596.0,,,,,
38,182236677,170999403,230000,3,line,,,,161138.0,,,,,
39,162477740,170357131,230000,3,line,60,,,1737.0,,,,,Yes
40,162477740,171171146,69000,3,line,60,-Wyodak - Osage 230kV,,92814.0,,,,,Yes
41,162477740,162623381,230000,3,line,60,,,18398.0,,,,,
42,170533386,170291906,230000,3,line,60,,,18897.0,,,,,
43,170297325,170297324,230000,3,line,60,,,33593.0,,,,,
44,170297325,170298745,230000,3,line,60,,,71761.0,,,,,
45,170937026,170937025,230000,3,line,60,,,46289.0,,,,,
46,170937026,101830555,230000,3,line,60,,,19949.0,,,,,
47,156355343,422742665,230000,3,line,60,,,54156.0,,,,,Yes
48,156355343,103493303,230000,3,line,60,,,40849.0,,,,,Yes
49,156355343,161728481,230000,3,line,60,,,10929.0,,,,,
50,156355343,167925225,230000,3,line,60,,,38925.0,,,,,
51,156355343,122792698,230000,3,line,60,,,73932.0,,,,,
52,156419217,164667340,230000,3,line,60,,,13890.0,,,,,
53,156419217,156728624,230000,3,line,60,,,1058.0,,,,,
54,156419217,161728481,230000,3,line,60,,,19305.0,,,,,
55,171183811,171175454,230000,3,line,60,Dry Fork - Tongue River 230kV,,5446.0,,,,,
56,171183811,170400062,230000,3,line,60,Sheridan - Tongue River 230kV,,19656.0,,,,,
57,101808021,171171146,230000,3,line,60,Osage - Yellow Creek 230kV,Black Hills Power,69488.0,,,,,
58,170300713,170298745,230000,3,line,60,,,67592.0,,,,,
59,170300713,170357131,230000,3,line,60,Wyodak - Carr Draw 230kV,,43092.0,,,,,
60,170300713,171175454,230000,3,line,60,Dry Fork - Carr Draw 230kV,,37043.0,,,,,
61,170180122,167144158,230000,3,line,60,,,32150.0,,,,,
62,170180122,167146833,230000,3,line,60,,,70092.0,,,,,
63,101830555,170960017,230000,3,line,60,,,31427.0,,,,,
64,101830555,101830557,230000,3,line,60,,,145.0,,,,,
65,37352222,171531455,230000,3,line,60,,,21448.0,,,,,
66,171175455,171175454,230000,3,line,60,Dry Fork - Hughes 230kV,,27839.0,,,,,
67,171175455,170357131,230000,3,line,60,Wyodak - Hughes 230kV,,15125.0,,,,,
68,170679597,170842224,230000,3,line,60,,,20908.0,,,,,
69,101569954,103493303,230000,3,line,60,,,13412.0,,,,,
70,101569954,103495084,230000,3,line,60,,,42329.0,,,,,
71,101569954,422742665,230000,3,line,60,,,87.0,,,,,
72,170960017,170960010,230000,3,line,60,,,18860.0,,,,,
73,170960017,449466224,230000,3,line,60,,,18680.0,,,,,
74,104026793,102222586,230000,3,line,60,Archer - Stegall 230kV,,23552.0,,,,,
75,104026793,449466224,230000,3,line,60,,,73808.0,,,,,
76,103495084,167144158,230000,3,line,60,,,49537.0,,,,,
77,170531570,167146833,230000,3,line,60,,,37782.0,,,,,
78,167015092,167144166,230000,3,line,60,,,50256.0,,,,,
79,170400062,171239039,230000,3,line,60,,,19578.0,,,,,
80,171531455,161728481,230000,3,line,60,,,55497.0,,,,,
81,170937025,170937044,230000,3,line,60,,,5681.0,,,,,
82,170937025,101822435,230000,3,line,60,,,16372.0,,,,,
83,170291906,449466224,230000,3,line,60,,,16232.0,,,,,
84,170291906,167015118,230000,3,line,60,,,15309.0,,,,,Yes
85,170291906,167144166,230000,3,line,60,,,39498.0,,,,,
86,171843873,167925224,230000,3,line,60,,,20406.0,,,,,
87,167015118,170061809,230000,3,line,60,,,29166.0,,,,,
88,167015118,170065277,230000,3,line,60,,,10070.0,,,,,
89,167015118,449466224,230000,3,line,60,,,3746.0,,,,,
90,170296532,170297324,230000,3,line,60,,,7083.0,,,,,
91,170296532,167144166,230000,3,line,60,,,58737.0,,,,,
92,104394709,169158520,230000,3,line,60,,PacifiCorp,30968.0,,,,,
93,104394709,104394718,230000,3,line,,,,53039.0,,,,,
94,102222586,255329402,230000,3,line,,,,24699.0,,,,,
95,104394718,167925224,230000,3,line,,,,48443.0,,,,,
96,167925224,167925229,230000,3,line,60,,,10671.0,,,,,
97,167925224,159114855,230000,3,line,60,,,31214.0,,,,,
98,159115881,159114855,230000,3,line,60,,,21419.0,,,,,
99,167925229,167925225,230000,3,line,60,,,16682.0,,,,,
100,170061809,170061810,230000,3,line,60,,,72359.0,,,,,
101,170061810,162623381,230000,3,line,60,,,13916.0,,,,,
102,101569954,422742665,345000,3,line,60,,,243.0,,,,,
103,103628426,103928303,345000,3,line,60,,,27746.0,,,,,
104,103928302,103928303,345000,3,line,60,,,207.0,,,,,
