n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
256864619,-108.744342245,44.072910944,substation,0,,,,
167146834,-108.22634421,43.6489014965,substation,0,,,,
171556881,-104.481582935,42.7512579642,substation,0,,Podolak Substation,,
167031023,-104.954381886,42.4674101043,sub_station,0,,,,
182236677,-105.559636557,41.3340936897,substation,0,,,,
15680784,-105.537896402,41.3312149399,substation,0,,,,
285934329,-105.589203124,41.3351983433,substation,0,,,,
158100239,-104.911696926,41.1288462711,substation,0,,Happy Jack Substation,,
158100248,-104.99541666,41.1400415013,substation,0,,,,
158100581,-104.917171861,41.0961803181,substation,0,,,,
167144216,-106.717109011,42.5484596461,station,0,,,,
167144157,-106.716118051,42.5491717915,sub_station,0,,Alcova Substation,Western Area Power Administration,
170847131,-106.379700382,42.8445629301,sub_station,0,,,,
255841955,-108.338085488,44.7921393443,substation,0,,,,
239212998,-109.005359033,44.4024008688,substation,0,,,,
255841960,-108.082470639,44.275876181,substation,0,,,,
289118631,-104.194454975,42.0655327831,substation,0,,,,
15764429,-104.265202042,41.8990812457,substation,0,,,,
157578156,-104.766127651,41.1180886807,substation,0,,,,
102222586,-104.649044734,41.1452600446,substation,0,,,,
256919981,-108.85984137,44.1530851226,substation,0,,,,
15690418,-106.221191789,41.8989967196,substation,0,,,,
170999403,-106.846277701,42.2315484272,substation,0,,Miracle Mile Substation,,
286637111,-104.691848204,41.3215963891,substation,0,,,,
287721445,-104.759351524,41.7550260261,substation,0,,,,
289118630,-104.714863323,42.2168247692,substation,0,,,,
158028363,-104.798121779,41.1886628814,substation,0,,,,
158099917,-104.885310326,41.1360401043,substation,0,,,,
167146833,-108.229385296,43.6500370098,sub_station,0,,Thermopolis Substation,PacifiCorp,
170531571,-108.46534773,43.7933645847,substation,0,,Hamilton Dome Substation,,
15749751,-107.335525027,42.9621681482,substation,0,,,,
167144166,-106.359684154,42.8721863328,sub_station,0,,,,
192244562,-104.093795257,41.1424801667,substation,0,,,,
279809613,-108.147243885,43.3874986458,substation,0,,,,
170686978,-108.524258565,41.6160641376,sub_station,0,,Bitter Creek Substation,PacifiCorp,
170686986,-108.523350579,41.5753352324,sub_station,0,,,,
170763978,-107.824641086,41.6500525599,sub_station,0,,Echo Springs Substation,PacifiCorp,
103493303,-108.760675051,41.6295699694,sub_station,0,,Point of Rocks Substation,PacifiCorp,
170065283,-105.779934382,43.7725271946,sub_station,0,,Pumpkin Buttes Substation,Powder River Energy Corporation,
167015118,-105.779464855,42.8616510408,sub_station,0,,Windstar Substation,,
162623381,-105.36554694,43.5623813781,sub_station,0,,Teckla Substation,,
170300713,-105.896586862,44.3198973734,sub_station,0,,Carr Draw Substation,,
162477740,-105.37177686,44.2857887356,substation,0,,Donkey Creek Substation,,
170182788,-108.41116553,43.0182834833,sub_station,0,,Riverton Substation,,
122792698,-108.762400998,42.5249902387,station,0,,Atlantic City Substation,,
170357131,-105.385430777,44.2910165715,substation,0,,Wyodak Substation,,
171171146,-104.41109788,43.9718565797,station,0,,Osage Substation,,
170533386,-106.00779394,43.0132552259,sub_station,0,,,,
170291906,-105.949223749,42.882242722,sub_station,0,,Latigo Substation,,
