id,n1_id,n2_id,length,voltage
1,1,2,75.2742044992,15000
2,3,4,12556.3876547,15000
3,3,5,8983.09718113,15000
4,3,6,14576.811156,15000
5,7,8,142.19907041,15000
6,7,9,9109.45387288,15000
7,7,10,37268.2631,15000
8,7,11,16780.4912467,15000
9,7,12,8348.44484117,15000
10,7,13,14371.5740305,15000
11,14,15,2416.29512897,15000
12,14,16,32406.3075155,15000
13,14,17,34641.7771942,15000
14,14,18,33859.9328246,15000
15,14,19,56808.3540341,15000
16,14,20,79099.1956805,15000
17,14,21,76415.5846335,15000
18,14,22,17271.3625078,15000
19,14,23,24751.9383296,15000
20,24,25,8871.88443099,15000
21,26,27,33470.787805,15000
22,28,29,5581.11684189,15000
23,30,31,7568.44073002,15000
24,32,33,28464.2724875,15000
25,32,34,21589.4878797,15000
26,35,36,21174.7733725,15000
27,35,37,2384.25503192,15000
28,35,38,1908.70787241,15000
29,39,40,17656.5893419,15000
30,39,41,13878.9432313,15000
31,39,42,18636.307252,15000
32,43,44,6537.14390383,15000
33,43,45,10572.5291673,15000
34,46,47,15874.2739971,15000
35,46,48,14507.7610527,15000
36,46,49,10904.9031651,15000
37,50,51,8033.10723932,15000
38,50,52,20034.6580726,15000
39,50,53,30767.5143619,15000
40,50,54,12742.0682198,15000
41,55,56,41370.7220641,15000
42,57,58,16287.23552,15000
43,57,59,2751.85846919,15000
44,57,60,18807.9593629,15000
45,61,62,39041.9921308,15000
46,61,63,21853.7932935,15000
47,64,65,14609.3501869,15000
48,64,66,24386.4122106,15000
49,25,67,41656.2590625,15000
50,25,20,22577.2382943,15000
51,25,68,9374.22095873,15000
52,69,70,26033.9361456,15000
53,71,72,33636.702448,15000
54,71,73,11744.6519338,15000
55,74,75,18345.5866515,15000
56,74,76,37410.95466,15000
57,74,77,27765.3389558,15000
58,74,78,16947.0951097,15000
59,74,79,19932.9061932,15000
60,80,15,6633.52583325,15000
61,81,82,17421.0207363,15000
62,82,83,13039.5555628,15000
63,84,85,15160.9787021,15000
64,86,87,6523.50743905,15000
65,88,89,30941.9562146,15000
66,88,90,15180.0038831,15000
67,88,91,23266.9261082,15000
68,88,92,8128.26924053,15000
69,93,94,32388.4519483,15000
70,95,96,534.889419203,15000
71,97,98,33127.2688268,15000
72,97,99,10806.441674,15000
73,100,101,24885.6229018,15000
74,102,103,20296.6088335,15000
75,104,105,4467.74672315,15000
76,104,106,19191.8280517,15000
77,107,108,4285.17184973,15000
78,107,109,15327.6377874,15000
79,107,110,15006.2439515,15000
80,111,112,28223.930289,15000
81,113,114,25748.5908923,15000
82,113,115,13695.4607684,15000
83,113,116,3424.26806343,15000
84,117,118,1032.50149147,15000
85,119,120,21502.5745914,15000
86,121,122,21996.35428,15000
87,123,124,325.39515327,15000
88,125,126,3512.85063428,15000
89,125,127,14407.4385704,15000
90,128,34,10383.9782183,15000
91,128,129,14959.6313496,15000
92,101,130,31679.1849027,15000
93,101,131,37375.3778512,15000
94,132,133,13240.319591,15000
95,132,134,18254.379107,15000
